signal,threshold,strategy,lead_months,lookback,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,n_trades,annual_turnover,oos_n,valid
level,T3_zscore_1.0,P3_long_short_pro,1,LB120,-0.4842,-0.7887,-1.4367,-0.2128,-0.1364,0.173,-0.6413,0.4,7,0.99,85,False
level,T3_zscore_1.0,P3_long_short_counter,1,LB120,0.4842,0.7887,1.3497,0.4382,0.1364,0.173,-0.3113,0.6,7,0.99,85,True
level,T3_zscore_neg_1.0,P1_long_cash_pro,1,LB120,-0.0995,1.3421,1.9035,2.7024,0.109,0.0812,-0.0403,0.2471,19,2.68,85,True
level,T3_zscore_neg_1.0,P1_long_cash_counter,1,LB120,0.6746,0.2743,0.3791,0.1767,0.0423,0.1541,-0.2393,0.4118,19,2.68,85,False
level,T3_zscore_neg_1.0,P2_signal_strength_pro,1,LB120,1.0014,0.6193,0.8404,0.428,0.0675,0.109,-0.1577,0.6471,79,11.15,85,True
level,T3_zscore_neg_1.0,P2_signal_strength_counter,1,LB120,0.3206,1.0105,1.7799,0.949,0.0837,0.0829,-0.0882,0.6,79,11.15,85,True
level,T3_zscore_neg_1.0,P3_long_short_pro,1,LB120,-0.6495,0.3781,0.7881,0.171,0.0667,0.1764,-0.3899,0.5529,19,2.68,85,True
level,T3_zscore_neg_1.0,P3_long_short_counter,1,LB120,0.6495,-0.3781,-0.6208,-0.1309,-0.0667,0.1764,-0.5095,0.4471,19,2.68,85,False
level,T3_zscore_1.5,P1_long_cash_pro,1,LB120,-0.0077,0.6851,0.3234,0.6555,0.0306,0.0446,-0.0466,0.0941,4,0.56,85,True
level,T3_zscore_1.5,P1_long_cash_counter,1,LB120,0.5622,0.7187,1.0859,0.5044,0.1207,0.1679,-0.2393,0.5647,4,0.56,85,True
level,T3_zscore_1.5,P2_signal_strength_pro,1,LB120,1.0014,0.6193,0.8404,0.428,0.0675,0.109,-0.1577,0.6471,79,11.15,85,True
level,T3_zscore_1.5,P2_signal_strength_counter,1,LB120,0.3206,1.0105,1.7799,0.949,0.0837,0.0829,-0.0882,0.6,79,11.15,85,True
level,T3_zscore_1.5,P3_long_short_pro,1,LB120,-0.5597,-0.5135,-0.9625,-0.1499,-0.0901,0.1755,-0.6012,0.4118,4,0.56,85,False
level,T3_zscore_1.5,P3_long_short_counter,1,LB120,0.5597,0.5135,0.8674,0.237,0.0901,0.1755,-0.3803,0.5882,4,0.56,85,True
level,T3_zscore_neg_1.5,P1_long_cash_pro,1,LB120,0.0039,1.0258,0.0,0.0,0.0479,0.0467,0.0,0.1059,16,2.26,85,True
level,T3_zscore_neg_1.5,P1_long_cash_counter,1,LB120,0.5877,0.6153,0.942,0.432,0.1034,0.168,-0.2393,0.5529,16,2.26,85,True
level,T3_zscore_neg_1.5,P2_signal_strength_pro,1,LB120,1.0014,0.6193,0.8404,0.428,0.0675,0.109,-0.1577,0.6471,79,11.15,85,True
level,T3_zscore_neg_1.5,P2_signal_strength_counter,1,LB120,0.3206,1.0105,1.7799,0.949,0.0837,0.0829,-0.0882,0.6,79,11.15,85,True
level,T3_zscore_neg_1.5,P3_long_short_pro,1,LB120,-0.5554,-0.3141,-0.5875,-0.1142,-0.0555,0.1767,-0.4859,0.4471,16,2.26,85,False
level,T3_zscore_neg_1.5,P3_long_short_counter,1,LB120,0.5554,0.3141,0.5433,0.1727,0.0555,0.1767,-0.3215,0.5529,16,2.26,85,True
