pair_name,horizon_days,metric,value,p_value,n_obs
sox_mom3m__spy_fwd_126d,126,distance,0.1586,,2000
sox_mom3m__spy_fwd_252d,252,pearson,0.048,0.0,7770
sox_mom3m__spy_fwd_252d,252,spearman,0.0521,0.0,7770
sox_mom3m__spy_fwd_252d,252,kendall,0.0389,0.0,7770
sox_mom3m__spy_fwd_252d,252,distance,0.1389,,2000
sox_mom6m__spy_fwd_1d,1,pearson,0.0046,0.6841,7958
sox_mom6m__spy_fwd_1d,1,spearman,0.0058,0.6044,7958
sox_mom6m__spy_fwd_1d,1,kendall,0.0035,0.6434,7958
sox_mom6m__spy_fwd_1d,1,distance,0.1318,,2000
sox_mom6m__spy_fwd_5d,5,pearson,0.0185,0.0992,7954
sox_mom6m__spy_fwd_5d,5,spearman,0.0094,0.4028,7954
sox_mom6m__spy_fwd_5d,5,kendall,0.0061,0.4109,7954
sox_mom6m__spy_fwd_5d,5,distance,0.1172,,2000
sox_mom6m__spy_fwd_21d,21,pearson,0.0444,0.0001,7938
sox_mom6m__spy_fwd_21d,21,spearman,0.033,0.0033,7938
sox_mom6m__spy_fwd_21d,21,kendall,0.0214,0.0042,7938
sox_mom6m__spy_fwd_21d,21,distance,0.1351,,2000
sox_mom6m__spy_fwd_63d,63,pearson,0.0956,0.0,7896
sox_mom6m__spy_fwd_63d,63,spearman,0.1014,0.0,7896
sox_mom6m__spy_fwd_63d,63,kendall,0.068,0.0,7896
sox_mom6m__spy_fwd_63d,63,distance,0.1762,,2000
sox_mom6m__spy_fwd_126d,126,pearson,0.1085,0.0,7833
sox_mom6m__spy_fwd_126d,126,spearman,0.1424,0.0,7833
sox_mom6m__spy_fwd_126d,126,kendall,0.0983,0.0,7833
sox_mom6m__spy_fwd_126d,126,distance,0.1806,,2000
sox_mom6m__spy_fwd_252d,252,pearson,0.0294,0.0098,7707
sox_mom6m__spy_fwd_252d,252,spearman,0.0158,0.1661,7707
sox_mom6m__spy_fwd_252d,252,kendall,0.0112,0.141,7707
sox_mom6m__spy_fwd_252d,252,distance,0.1586,,2000
sox_mom12m__spy_fwd_1d,1,pearson,0.0049,0.6636,7832
sox_mom12m__spy_fwd_1d,1,spearman,0.0082,0.4672,7832
sox_mom12m__spy_fwd_1d,1,kendall,0.0056,0.4562,7832
sox_mom12m__spy_fwd_1d,1,distance,0.1384,,2000
sox_mom12m__spy_fwd_5d,5,pearson,0.0164,0.1479,7828
sox_mom12m__spy_fwd_5d,5,spearman,0.0113,0.3166,7828
sox_mom12m__spy_fwd_5d,5,kendall,0.0074,0.328,7828
sox_mom12m__spy_fwd_5d,5,distance,0.1162,,2000
sox_mom12m__spy_fwd_21d,21,pearson,0.0474,0.0,7812
sox_mom12m__spy_fwd_21d,21,spearman,0.0189,0.0956,7812
sox_mom12m__spy_fwd_21d,21,kendall,0.0128,0.0903,7812
sox_mom12m__spy_fwd_21d,21,distance,0.1349,,2000
sox_mom12m__spy_fwd_63d,63,pearson,0.0489,0.0,7770
sox_mom12m__spy_fwd_63d,63,spearman,0.0381,0.0008,7770
sox_mom12m__spy_fwd_63d,63,kendall,0.0277,0.0003,7770
sox_mom12m__spy_fwd_63d,63,distance,0.1777,,2000
sox_mom12m__spy_fwd_126d,126,pearson,0.0316,0.0055,7707
sox_mom12m__spy_fwd_126d,126,spearman,0.0403,0.0004,7707
sox_mom12m__spy_fwd_126d,126,kendall,0.029,0.0001,7707
sox_mom12m__spy_fwd_126d,126,distance,0.1554,,2000
sox_mom12m__spy_fwd_252d,252,pearson,-0.0554,0.0,7581
sox_mom12m__spy_fwd_252d,252,spearman,-0.0446,0.0001,7581
sox_mom12m__spy_fwd_252d,252,kendall,-0.0323,0.0,7581
sox_mom12m__spy_fwd_252d,252,distance,0.1632,,2000
hmm_stress__spy_fwd_1d,1,pearson,-0.0299,0.0071,8083
hmm_stress__spy_fwd_1d,1,spearman,-0.0245,0.0279,8083
hmm_stress__spy_fwd_1d,1,kendall,-0.0157,0.0341,8083
hmm_stress__spy_fwd_1d,1,distance,0.207,,2000
hmm_stress__spy_fwd_5d,5,pearson,-0.058,0.0,8079
hmm_stress__spy_fwd_5d,5,spearman,-0.0346,0.0019,8079
hmm_stress__spy_fwd_5d,5,kendall,-0.0212,0.0043,8079
hmm_stress__spy_fwd_5d,5,distance,0.1994,,2000
hmm_stress__spy_fwd_21d,21,pearson,-0.0701,0.0,8063
hmm_stress__spy_fwd_21d,21,spearman,-0.0171,0.1246,8063
hmm_stress__spy_fwd_21d,21,kendall,-0.0076,0.3063,8063
hmm_stress__spy_fwd_21d,21,distance,0.1909,,2000
hmm_stress__spy_fwd_63d,63,pearson,-0.0177,0.1129,8021
hmm_stress__spy_fwd_63d,63,spearman,0.0031,0.7803,8021
hmm_stress__spy_fwd_63d,63,kendall,0.0063,0.3982,8021
hmm_stress__spy_fwd_63d,63,distance,0.135,,2000
hmm_stress__spy_fwd_126d,126,pearson,-0.0091,0.4154,7958
hmm_stress__spy_fwd_126d,126,spearman,0.0163,0.146,7958
hmm_stress__spy_fwd_126d,126,kendall,0.0173,0.0208,7958
hmm_stress__spy_fwd_126d,126,distance,0.1492,,2000
hmm_stress__spy_fwd_252d,252,pearson,-0.0361,0.0014,7832
hmm_stress__spy_fwd_252d,252,spearman,0.0443,0.0001,7832
hmm_stress__spy_fwd_252d,252,kendall,0.0369,0.0,7832
hmm_stress__spy_fwd_252d,252,distance,0.18,,2000
