signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
S1_ratio,T2_rp75,P3,126,0.259,5.28,-43.09,43.42,1566,False
S1_ratio,T4_unity,P1,126,0.7204,14.33,-33.72,14.19,1566,True
S1_ratio,T4_unity,P2,126,0.6333,9.19,-28.0,15.0,1566,True
S1_ratio,T4_unity,P3,126,0.637,12.97,-34.58,28.37,1566,False
S1_ratio,T1_p25,P1,252,0.3063,3.28,-15.18,22.07,1566,True
S1_ratio,T1_p25,P2,252,0.7313,10.31,-24.74,15.05,1566,True
S1_ratio,T1_p25,P3,252,-0.4482,-9.13,-63.52,44.14,1566,False
S1_ratio,T1_p50,P1,252,0.6977,11.23,-24.12,24.2,1566,False
S1_ratio,T1_p50,P2,252,0.7313,10.31,-24.74,15.05,1566,True
S1_ratio,T1_p50,P3,252,0.3327,6.78,-41.01,48.41,1566,False
S1_ratio,T1_p75,P1,252,0.6531,12.47,-33.72,19.37,1566,True
S1_ratio,T1_p75,P2,252,0.7313,10.31,-24.74,15.05,1566,True
S1_ratio,T1_p75,P3,252,0.4546,9.26,-33.72,38.75,1566,False
S1_ratio,T2_rp25,P1,252,0.8256,8.12,-11.67,26.75,1566,False
S1_ratio,T2_rp25,P2,252,0.7313,10.31,-24.74,15.05,1566,True
S1_ratio,T2_rp25,P3,252,0.0268,0.55,-45.34,53.49,1566,False
S1_ratio,T2_rp50,P1,252,0.531,8.5,-20.35,28.07,1566,False
S1_ratio,T2_rp50,P2,252,0.7313,10.31,-24.74,15.05,1566,True
S1_ratio,T2_rp50,P3,252,0.0641,1.31,-31.56,56.14,1566,False
S1_ratio,T2_rp75,P1,252,0.6714,12.32,-33.72,21.15,1566,True
S1_ratio,T2_rp75,P2,252,0.7313,10.31,-24.74,15.05,1566,True
S1_ratio,T2_rp75,P3,252,0.4396,8.96,-33.72,42.31,1566,False
S1_ratio,T4_unity,P1,252,0.7109,14.3,-33.72,13.88,1566,True
S1_ratio,T4_unity,P2,252,0.7313,10.31,-24.74,15.05,1566,True
S1_ratio,T4_unity,P3,252,0.6338,12.91,-33.72,27.76,1566,False
S2_z252,T1_p25,P1,0,0.6109,3.11,-10.7,25.88,1566,False
S2_z252,T1_p25,P2,0,0.8885,9.6,-15.9,14.97,1566,True
S2_z252,T1_p25,P3,0,-0.465,-9.47,-63.75,51.76,1566,False
S2_z252,T1_p50,P1,0,0.6353,5.3,-13.25,29.85,1566,False
S2_z252,T1_p50,P2,0,0.8885,9.6,-15.9,14.97,1566,True
S2_z252,T1_p50,P3,0,-0.2497,-5.09,-55.78,59.69,1566,False
S2_z252,T1_p75,P1,0,1.0516,12.21,-16.73,22.22,1566,True
S2_z252,T1_p75,P2,0,0.8885,9.6,-15.9,14.97,1566,True
S2_z252,T1_p75,P3,0,0.4283,8.72,-24.94,44.44,1566,False
S2_z252,T2_rp25,P1,0,0.2478,1.51,-8.9,27.81,1566,False
S2_z252,T2_rp25,P2,0,0.8885,9.6,-15.9,14.97,1566,True
S2_z252,T2_rp25,P3,0,-0.6222,-12.67,-70.25,55.63,1566,False
S2_z252,T2_rp50,P1,0,1.1065,10.29,-8.71,27.2,1566,False
S2_z252,T2_rp50,P2,0,0.8885,9.6,-15.9,14.97,1566,True
S2_z252,T2_rp50,P3,0,0.2402,4.89,-29.65,54.41,1566,False
S2_z252,T2_rp75,P1,0,1.0812,13.95,-24.82,20.69,1566,True
S2_z252,T2_rp75,P2,0,0.8885,9.6,-15.9,14.97,1566,True
S2_z252,T2_rp75,P3,0,0.5994,12.21,-31.98,41.39,1566,False
S2_z252,T1_p25,P1,1,0.0566,0.31,-12.11,25.88,1566,False
S2_z252,T1_p25,P2,1,0.9017,9.77,-17.75,14.97,1566,True
S2_z252,T1_p25,P3,1,-0.7406,-15.08,-75.09,51.76,1566,False
S2_z252,T1_p50,P1,1,0.6231,5.31,-10.72,29.95,1566,False
S2_z252,T1_p50,P2,1,0.9017,9.77,-17.75,14.97,1566,True
S2_z252,T1_p50,P3,1,-0.2484,-5.06,-56.65,59.9,1566,False
S2_z252,T1_p75,P1,1,1.0723,12.65,-16.52,22.22,1566,True
S2_z252,T1_p75,P2,1,0.9017,9.77,-17.75,14.97,1566,True
S2_z252,T1_p75,P3,1,0.4723,9.62,-25.83,44.44,1566,False
S2_z252,T2_rp25,P1,1,0.6554,4.05,-9.29,27.81,1566,False
S2_z252,T2_rp25,P2,1,0.9017,9.77,-17.75,14.97,1566,True
S2_z252,T2_rp25,P3,1,-0.3722,-7.58,-59.86,55.63,1566,False
