entry_date,exit_date,direction,holding_days,trade_return_pct
2021-01-06,2021-01-07,Cash,1,0.0
2021-01-07,2021-01-27,Long,20,-1.24
2021-01-27,2021-02-02,Cash,6,0.0
2021-02-02,2021-02-25,Long,23,0.2
2021-02-25,2021-03-01,Cash,4,0.0
2021-03-01,2021-03-03,Long,2,-2.09
2021-03-03,2021-03-05,Cash,2,0.0
2021-03-05,2021-05-10,Long,66,9.3
2021-05-10,2021-05-14,Cash,4,0.0
2021-05-14,2021-05-18,Long,4,-1.11
2021-05-18,2021-05-21,Cash,3,0.0
2021-05-21,2021-06-18,Long,28,0.32
2021-06-18,2021-06-21,Cash,3,0.0
2021-06-21,2021-07-08,Long,17,2.39
2021-07-08,2021-07-09,Cash,1,0.0
2021-07-09,2021-07-19,Long,10,-2.42
2021-07-19,2021-07-21,Cash,2,0.0
2021-07-21,2021-07-27,Long,6,1.03
2021-07-27,2021-07-28,Cash,1,0.0
2021-07-28,2021-08-02,Long,5,-0.28
2021-08-02,2021-08-03,Cash,1,0.0
2021-08-03,2021-08-18,Long,15,-0.45
2021-08-18,2021-08-20,Cash,2,0.0
2021-08-20,2021-08-26,Long,6,0.65
2021-08-26,2021-08-27,Cash,1,0.0
2021-08-27,2021-09-07,Long,11,0.27
2021-09-07,2021-09-08,Cash,1,0.0
2021-09-08,2021-09-09,Long,1,-0.43
2021-09-09,2021-09-15,Cash,6,0.0
2021-09-15,2021-09-16,Long,1,-0.16
2021-09-16,2021-10-14,Cash,28,0.0
2021-10-14,2021-11-10,Long,27,4.77
2021-11-10,2021-11-11,Cash,1,0.0
2021-11-11,2021-11-22,Long,11,0.82
2021-11-22,2021-12-08,Cash,16,0.0
2021-12-08,2021-12-09,Long,1,-0.68
2021-12-09,2021-12-10,Cash,1,0.0
2021-12-10,2021-12-14,Long,4,-1.57
2021-12-14,2021-12-15,Cash,1,0.0
2021-12-15,2021-12-20,Long,5,-2.98
2021-12-20,2021-12-21,Cash,1,0.0
2021-12-21,2022-01-10,Long,20,0.53
2022-01-10,2022-01-11,Cash,1,0.0
2022-01-11,2022-01-13,Long,2,-1.11
2022-01-13,2022-01-14,Cash,1,0.0
2022-01-14,2022-01-18,Long,4,-1.77
2022-01-18,2022-02-08,Cash,21,0.0
2022-02-08,2022-02-10,Long,2,-0.36
2022-02-10,2022-03-11,Cash,29,0.0
2022-03-11,2022-03-14,Long,3,-0.73
2022-03-14,2022-03-15,Cash,1,0.0
2022-03-15,2022-04-26,Long,42,-2.06
2022-04-26,2022-05-03,Cash,7,0.0
2022-05-03,2022-05-09,Long,6,-4.37
2022-05-09,2022-05-11,Cash,2,0.0
2022-05-11,2022-06-13,Long,33,-4.52
2022-06-13,2022-06-15,Cash,2,0.0
2022-06-15,2022-06-16,Long,1,-3.31
2022-06-16,2022-06-17,Cash,1,0.0
2022-06-17,2022-08-29,Long,73,10.05
2022-08-29,2022-09-02,Cash,4,0.0
2022-09-02,2022-09-06,Long,4,-0.38
2022-09-06,2022-09-07,Cash,1,0.0
2022-09-07,2022-09-13,Long,6,-1.18
2022-09-13,2022-09-14,Cash,1,0.0
2022-09-14,2022-09-20,Long,6,-2.26
2022-09-20,2022-10-05,Cash,15,0.0
2022-10-05,2022-10-06,Long,1,-1.03
2022-10-06,2022-10-07,Cash,1,0.0
2022-10-07,2022-10-10,Long,3,-0.76
2022-10-10,2022-10-18,Cash,8,0.0
2022-10-18,2023-02-21,Long,126,8.03
2023-02-21,2023-03-02,Cash,9,0.0
2023-03-02,2023-03-09,Long,7,-1.57
2023-03-09,2023-03-14,Cash,5,0.0
2023-03-14,2023-08-02,Long,141,15.78
2023-08-02,2023-08-07,Cash,5,0.0
2023-08-07,2023-08-17,Long,10,-3.2
2023-08-17,2023-08-28,Cash,11,0.0
2023-08-28,2023-09-06,Long,9,0.78
2023-09-06,2023-09-08,Cash,2,0.0
2023-09-08,2023-09-12,Long,4,0.11
2023-09-12,2023-09-13,Cash,1,0.0
2023-09-13,2023-09-18,Long,5,-0.29
2023-09-18,2023-11-02,Cash,45,0.0
2023-11-02,2024-01-17,Long,76,10.09
2024-01-17,2024-01-18,Cash,1,0.0
2024-01-18,2024-01-29,Long,11,3.1
2024-01-29,2024-01-30,Cash,1,0.0
2024-01-30,2024-01-31,Long,1,-1.63
2024-01-31,2024-02-02,Cash,2,0.0
2024-02-02,2024-02-13,Long,11,-0.05
2024-02-13,2024-02-15,Cash,2,0.0
2024-02-15,2024-02-16,Long,1,-0.5
2024-02-16,2024-03-01,Cash,14,0.0
2024-03-01,2024-03-05,Long,4,-1.11
2024-03-05,2024-03-12,Cash,7,0.0
2024-03-12,2024-04-02,Long,21,0.71
2024-04-02,2024-05-03,Cash,31,0.0
2024-05-03,2024-05-13,Long,10,1.88
2024-05-13,2024-05-15,Cash,2,0.0
2024-05-15,2024-05-29,Long,14,-0.69
2024-05-29,2024-05-31,Cash,2,0.0
2024-05-31,2024-07-17,Long,47,5.95
2024-07-17,2024-07-23,Cash,6,0.0
2024-07-23,2024-07-24,Long,1,-2.27
2024-07-24,2024-08-12,Cash,19,0.0
2024-08-12,2024-09-04,Long,23,3.32
