signal,threshold,strategy,signal_column,lead_days,oos_sharpe,max_drawdown,valid,lead_source
S4_roc5,T1_p75,P2,vix_ratio_roc_5d,1,0.7209,-22.56,True,pipeline
S4_roc5,T2_rp25,P2,vix_ratio_roc_5d,1,0.7209,-22.56,True,pipeline
S4_roc5,T2_rp50,P2,vix_ratio_roc_5d,1,0.7209,-22.56,True,pipeline
S4_roc5,T2_rp75,P2,vix_ratio_roc_5d,1,0.7209,-22.56,True,pipeline
S4_roc5,T1_p25,P2,vix_ratio_roc_5d,5,0.8062,-20.18,True,pipeline
S4_roc5,T1_p50,P2,vix_ratio_roc_5d,5,0.8062,-20.18,True,pipeline
S4_roc5,T1_p75,P2,vix_ratio_roc_5d,5,0.8062,-20.18,True,pipeline
S4_roc5,T2_rp25,P2,vix_ratio_roc_5d,5,0.8062,-20.18,True,pipeline
S4_roc5,T2_rp50,P2,vix_ratio_roc_5d,5,0.8062,-20.18,True,pipeline
S4_roc5,T2_rp75,P2,vix_ratio_roc_5d,5,0.8062,-20.18,True,pipeline
S4_roc5,T1_p25,P2,vix_ratio_roc_5d,21,0.6065,-21.17,True,pipeline
S4_roc5,T1_p50,P2,vix_ratio_roc_5d,21,0.6065,-21.17,True,pipeline
S4_roc5,T1_p75,P2,vix_ratio_roc_5d,21,0.6065,-21.17,True,pipeline
S4_roc5,T2_rp25,P2,vix_ratio_roc_5d,21,0.6065,-21.17,True,pipeline
S4_roc5,T2_rp50,P2,vix_ratio_roc_5d,21,0.6065,-21.17,True,pipeline
S4_roc5,T2_rp75,P2,vix_ratio_roc_5d,21,0.6065,-21.17,True,pipeline
S4_roc5,T1_p25,P2,vix_ratio_roc_5d,63,0.673,-24.8,True,pipeline
S4_roc5,T1_p50,P2,vix_ratio_roc_5d,63,0.673,-24.8,True,pipeline
S4_roc5,T1_p75,P2,vix_ratio_roc_5d,63,0.673,-24.8,True,pipeline
S4_roc5,T2_rp25,P2,vix_ratio_roc_5d,63,0.673,-24.8,True,pipeline
