signal,threshold,strategy,lead_months,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
S3_mom,T4_zero,P3,3,-0.0266,-0.45,-40.52,13.06,96,False
S3_mom,T1_p25,P1,6,1.3882,18.73,-19.42,4.53,96,True
S3_mom,T1_p25,P2,6,0.9023,9.11,-16.24,2.6,96,True
S3_mom,T1_p25,P3,6,1.4454,22.66,-19.42,9.06,96,True
S3_mom,T1_p50,P1,6,1.0187,11.76,-19.42,6.5,96,True
S3_mom,T1_p50,P2,6,0.9023,9.11,-16.24,2.6,96,True
S3_mom,T1_p50,P3,6,0.5183,8.71,-29.65,13.0,96,True
S3_mom,T1_p75,P1,6,0.4381,4.32,-19.42,4.89,96,True
S3_mom,T1_p75,P2,6,0.9023,9.11,-16.24,2.6,96,True
S3_mom,T1_p75,P3,6,-0.3641,-6.16,-50.32,9.78,96,False
S3_mom,T2_rp25,P1,6,1.311,17.97,-19.42,4.42,96,True
S3_mom,T2_rp25,P2,6,0.9023,9.11,-16.24,2.6,96,True
S3_mom,T2_rp25,P3,6,1.333,21.14,-19.42,8.83,96,True
S3_mom,T2_rp50,P1,6,1.058,12.13,-19.42,5.75,96,True
S3_mom,T2_rp50,P2,6,0.9023,9.11,-16.24,2.6,96,True
S3_mom,T2_rp50,P3,6,0.5633,9.45,-29.65,11.5,96,True
S3_mom,T2_rp75,P1,6,0.3783,3.35,-20.07,4.39,96,True
S3_mom,T2_rp75,P2,6,0.9023,9.11,-16.24,2.6,96,True
S3_mom,T2_rp75,P3,6,-0.4815,-8.11,-57.51,8.78,96,False
S3_mom,T4_zero,P1,6,0.9634,11.25,-19.42,6.5,96,True
S3_mom,T4_zero,P2,6,0.9023,9.11,-16.24,2.6,96,True
S3_mom,T4_zero,P3,6,0.4565,7.69,-29.65,13.0,96,True
S4_dev,T1_p25,P1,0,0.3395,4.42,-19.45,1.69,96,True
S4_dev,T1_p25,P2,0,0.8479,6.74,-12.03,1.35,96,True
S4_dev,T1_p25,P3,0,-0.3527,-5.96,-50.5,3.39,96,False
S4_dev,T1_p50,P1,0,0.3036,3.23,-19.45,3.08,96,True
S4_dev,T1_p50,P2,0,0.8479,6.74,-12.03,1.35,96,True
S4_dev,T1_p50,P3,0,-0.496,-8.35,-56.01,6.17,96,False
S4_dev,T1_p75,P1,0,0.2595,2.02,-12.99,2.22,96,True
S4_dev,T1_p75,P2,0,0.8479,6.74,-12.03,1.35,96,True
S4_dev,T1_p75,P3,0,-0.6439,-10.76,-63.66,4.44,96,False
S4_dev,T2_rp25,P1,0,0.5064,6.62,-19.64,1.97,96,True
S4_dev,T2_rp25,P2,0,0.8479,6.74,-12.03,1.35,96,True
S4_dev,T2_rp25,P3,0,-0.0923,-1.57,-51.4,3.94,96,False
S4_dev,T2_rp50,P1,0,0.2346,2.56,-19.45,2.64,96,True
S4_dev,T2_rp50,P2,0,0.8479,6.74,-12.03,1.35,96,True
S4_dev,T2_rp50,P3,0,-0.578,-9.69,-60.5,5.28,96,False
S4_dev,T2_rp75,P1,0,0.4157,2.92,-8.07,1.86,96,True
S4_dev,T2_rp75,P2,0,0.8479,6.74,-12.03,1.35,96,True
S4_dev,T2_rp75,P3,0,-0.533,-8.96,-59.99,3.72,96,False
S4_dev,T1_p25,P1,1,0.5786,7.69,-21.76,1.67,96,True
S4_dev,T1_p25,P2,1,0.8174,6.67,-13.89,1.35,96,True
S4_dev,T1_p25,P3,1,0.0334,0.57,-44.19,3.33,96,True
S4_dev,T1_p50,P1,1,0.2491,2.77,-19.98,3.06,96,True
S4_dev,T1_p50,P2,1,0.8174,6.67,-13.89,1.35,96,True
S4_dev,T1_p50,P3,1,-0.5514,-9.26,-58.8,6.11,96,False
S4_dev,T1_p75,P1,1,0.109,0.93,-17.9,2.22,96,True
S4_dev,T1_p75,P2,1,0.8174,6.67,-13.89,1.35,96,True
S4_dev,T1_p75,P3,1,-0.7806,-12.94,-70.67,4.44,96,False
S4_dev,T2_rp25,P1,1,0.8226,11.04,-23.03,1.97,96,True
S4_dev,T2_rp25,P2,1,0.8174,6.67,-13.89,1.35,96,True
S4_dev,T2_rp25,P3,1,0.431,7.27,-37.21,3.94,96,True
S4_dev,T2_rp50,P1,1,0.2348,2.7,-22.99,2.61,96,True
S4_dev,T2_rp50,P2,1,0.8174,6.67,-13.89,1.35,96,True
S4_dev,T2_rp50,P3,1,-0.5605,-9.41,-59.29,5.22,96,False
S4_dev,T2_rp75,P1,1,0.4237,3.1,-17.9,1.83,96,True
S4_dev,T2_rp75,P2,1,0.8174,6.67,-13.89,1.35,96,True
