signal,threshold,threshold_value,strategy,lead_days,oos_sharpe,oos_ann_return,oos_max_drawdown,annual_turnover,oos_n,valid
gold_copper_pctrank_504d,T1_p25,0.1605,P1_long_cash,21,0.4721,0.0266,-0.0809,8.37,1566,True
gold_copper_pctrank_504d,T1_p25,0.1605,P1_long_cash,63,-0.3034,-0.0194,-0.1836,8.37,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P1_long_cash,126,-0.3312,-0.0234,-0.1967,8.37,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P1_long_cash,252,-0.3222,-0.0294,-0.2098,8.37,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P2_long_short,0,-0.2329,-0.0733,-0.5996,16.74,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P2_long_short,1,-0.6046,-0.1464,-0.7598,16.74,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P2_long_short,5,-0.517,-0.1297,-0.7291,16.74,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P2_long_short,21,-0.4027,-0.1074,-0.683,16.74,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P2_long_short,63,-0.8178,-0.1856,-0.8207,16.74,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P2_long_short,126,-0.8512,-0.1916,-0.8287,16.74,1566,False
gold_copper_pctrank_504d,T1_p25,0.1605,P2_long_short,252,-0.8957,-0.1995,-0.8388,16.74,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P1_long_cash,0,0.3112,0.0218,-0.107,4.18,1566,True
gold_copper_pctrank_504d,T2_p50,0.5268,P1_long_cash,1,0.0965,0.0045,-0.1744,4.18,1566,True
gold_copper_pctrank_504d,T2_p50,0.5268,P1_long_cash,5,-0.0373,-0.0064,-0.2216,4.18,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P1_long_cash,21,0.1991,0.0133,-0.1539,4.18,1566,True
gold_copper_pctrank_504d,T2_p50,0.5268,P1_long_cash,63,0.1474,0.0092,-0.1822,4.18,1566,True
gold_copper_pctrank_504d,T2_p50,0.5268,P1_long_cash,126,-0.1404,-0.0178,-0.2122,3.7,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P1_long_cash,252,0.0736,0.0018,-0.2491,5.15,1566,True
gold_copper_pctrank_504d,T2_p50,0.5268,P2_long_short,0,-0.4318,-0.1132,-0.6954,8.37,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P2_long_short,1,-0.5865,-0.143,-0.7538,8.37,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P2_long_short,5,-0.6836,-0.1612,-0.7845,8.37,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P2_long_short,21,-0.5045,-0.1273,-0.7246,8.37,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P2_long_short,63,-0.536,-0.1334,-0.7447,8.37,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P2_long_short,126,-0.7774,-0.1783,-0.8105,7.4,1566,False
gold_copper_pctrank_504d,T2_p50,0.5268,P2_long_short,252,-0.5781,-0.1414,-0.7407,10.3,1566,False
gold_copper_pctrank_504d,T3_p75,0.841,P1_long_cash,0,0.6888,0.0851,-0.2164,9.66,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P1_long_cash,1,0.5591,0.0677,-0.2164,9.66,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P1_long_cash,5,0.458,0.056,-0.2164,9.49,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P1_long_cash,21,0.4464,0.0548,-0.2164,9.66,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P1_long_cash,63,0.2364,0.0266,-0.3825,9.98,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P1_long_cash,126,0.3662,0.0407,-0.2164,9.82,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P1_long_cash,252,0.3382,0.0464,-0.4233,9.33,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P2_long_short,0,0.1603,0.011,-0.3958,19.31,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P2_long_short,1,0.0167,-0.0206,-0.4615,19.31,1566,True
gold_copper_pctrank_504d,T3_p75,0.841,P2_long_short,5,-0.0734,-0.0399,-0.4997,18.99,1566,False
gold_copper_pctrank_504d,T3_p75,0.841,P2_long_short,21,-0.0828,-0.0419,-0.4898,19.31,1566,False
gold_copper_pctrank_504d,T3_p75,0.841,P2_long_short,63,-0.2734,-0.0816,-0.4733,19.95,1566,False
gold_copper_pctrank_504d,T3_p75,0.841,P2_long_short,126,-0.2146,-0.0695,-0.5975,19.63,1566,False
gold_copper_pctrank_504d,T3_p75,0.841,P2_long_short,252,-0.092,-0.0439,-0.6348,18.67,1566,False
gold_copper_roc_63d,T1_p25,-6.739,P1_long_cash,0,0.8143,0.0594,-0.0776,8.85,1566,True
gold_copper_roc_63d,T1_p25,-6.739,P1_long_cash,1,0.8951,0.065,-0.0838,8.85,1566,True
gold_copper_roc_63d,T1_p25,-6.739,P1_long_cash,5,0.7896,0.063,-0.1423,8.85,1566,True
gold_copper_roc_63d,T1_p25,-6.739,P1_long_cash,21,0.8933,0.0587,-0.063,9.49,1566,True
gold_copper_roc_63d,T1_p25,-6.739,P1_long_cash,63,0.1148,0.0064,-0.3804,9.98,1566,True
gold_copper_roc_63d,T1_p25,-6.739,P1_long_cash,126,0.356,0.0255,-0.1416,9.82,1566,True
gold_copper_roc_63d,T1_p25,-6.739,P1_long_cash,252,0.286,0.0279,-0.2191,9.33,1566,True
gold_copper_roc_63d,T1_p25,-6.739,P2_long_short,0,-0.1094,-0.0476,-0.5451,17.7,1566,False
gold_copper_roc_63d,T1_p25,-6.739,P2_long_short,1,-0.0617,-0.0375,-0.5118,17.7,1566,False
gold_copper_roc_63d,T1_p25,-6.739,P2_long_short,5,-0.0727,-0.0398,-0.5716,17.7,1566,False
gold_copper_roc_63d,T1_p25,-6.739,P2_long_short,21,-0.12,-0.0498,-0.5174,18.99,1566,False
gold_copper_roc_63d,T1_p25,-6.739,P2_long_short,63,-0.5182,-0.13,-0.5996,19.95,1566,False
gold_copper_roc_63d,T1_p25,-6.739,P2_long_short,126,-0.3996,-0.1068,-0.6795,19.63,1566,False
gold_copper_roc_63d,T1_p25,-6.739,P2_long_short,252,-0.339,-0.0947,-0.6596,18.67,1566,False
gold_copper_roc_63d,T2_p50,0.2018,P1_long_cash,0,1.2546,0.1473,-0.0948,21.89,1566,True
