change_date,from_pct,to_pct,delta_pct,side,price,signal_value,threshold,cum_pnl_pct
2008-03-05,0.0,100.0,100.0,BUY,25.8249,-0.0689,-0.0334,136.2205
2008-03-06,100.0,0.0,-100.0,SELL,25.3341,-0.0123,-0.0334,139.3398
2008-03-07,0.0,100.0,100.0,BUY,24.9694,-0.0898,-0.0334,135.8951
2008-03-10,100.0,0.0,-100.0,SELL,24.5697,0.1687,-0.0334,132.5
2008-03-24,0.0,100.0,100.0,BUY,26.3833,-0.1323,-0.0334,137.7681
2008-07-08,100.0,0.0,-100.0,SELL,24.1576,0.06,-0.0334,117.6217
2008-08-15,0.0,100.0,100.0,BUY,25.2261,-0.7478,-0.0334,118.8495
2008-08-28,100.0,0.0,-100.0,SELL,25.1978,0.0326,-0.0334,115.0219
2008-09-03,0.0,100.0,100.0,BUY,24.7449,-0.2362,-0.0334,113.435
2008-09-04,100.0,0.0,-100.0,SELL,23.8958,0.0316,-0.0334,111.8598
2008-09-11,0.0,100.0,100.0,BUY,24.2001,-0.483,-0.0334,116.7396
2008-09-15,100.0,0.0,-100.0,SELL,23.167,0.5266,-0.0334,121.1483
2009-03-23,0.0,100.0,100.0,BUY,13.5271,-0.0532,-0.0334,137.1717
2009-11-13,100.0,0.0,-100.0,SELL,20.1858,-0.0251,-0.0334,276.6646
2009-11-16,0.0,100.0,100.0,BUY,20.6483,-0.2785,-0.0334,285.2938
2009-11-24,100.0,0.0,-100.0,SELL,20.3547,0.0711,-0.0334,291.7389
2009-12-04,0.0,100.0,100.0,BUY,20.6776,-0.2441,-0.0334,297.6679
2010-01-29,100.0,0.0,-100.0,SELL,20.2283,0.1667,-0.0334,298.9535
2010-02-11,0.0,100.0,100.0,BUY,20.5312,-0.31,-0.0334,304.9276
2010-04-27,100.0,0.0,-100.0,SELL,24.0117,0.073,-0.0334,392.5347
2010-07-27,0.0,100.0,100.0,BUY,22.6101,-0.1767,-0.0334,389.1502
2010-08-11,100.0,0.0,-100.0,SELL,22.0886,0.0109,-0.0334,392.9915
2010-08-18,0.0,100.0,100.0,BUY,22.3195,-0.0473,-0.0334,394.8082
2010-08-19,100.0,0.0,-100.0,SELL,21.8427,0.071,-0.0334,396.6316
2010-08-27,0.0,100.0,100.0,BUY,21.4107,-0.0966,-0.0334,406.6806
2010-08-31,100.0,0.0,-100.0,SELL,21.0009,-0.0039,-0.0334,409.0188
2010-09-01,0.0,100.0,100.0,BUY,21.8353,-0.341,-0.0334,429.2423
2011-03-09,100.0,0.0,-100.0,SELL,27.8387,0.1893,-0.0334,603.077
2011-03-16,0.0,100.0,100.0,BUY,26.6044,-0.073,-0.0334,589.9993
2011-03-21,100.0,0.0,-100.0,SELL,27.7871,-0.0302,-0.0334,592.0681
2011-03-22,0.0,100.0,100.0,BUY,27.5679,-0.1076,-0.0334,586.6087
2011-03-30,100.0,0.0,-100.0,SELL,28.3616,0.0627,-0.0334,598.0024
2011-04-08,0.0,100.0,100.0,BUY,28.286,-0.1698,-0.0334,591.9006
2011-04-12,100.0,0.0,-100.0,SELL,28.0517,0.0634,-0.0334,585.3023
2011-12-29,0.0,100.0,100.0,BUY,26.1161,-0.0796,-0.0334,593.8839
2012-01-04,100.0,0.0,-100.0,SELL,26.6467,0.1079,-0.0334,613.5381
2012-01-10,0.0,100.0,100.0,BUY,27.185,-0.0876,-0.0334,623.7754
2012-05-18,100.0,0.0,-100.0,SELL,26.3614,0.2906,-0.0334,615.4655
2012-05-29,0.0,100.0,100.0,BUY,27.3427,-0.226,-0.0334,625.0951
2012-05-30,100.0,0.0,-100.0,SELL,26.8868,0.7254,-0.0334,634.8544
2012-07-19,0.0,100.0,100.0,BUY,27.6351,-0.3103,-0.0334,638.3807
2012-07-20,100.0,0.0,-100.0,SELL,27.2935,0.4185,-0.0334,641.924
2012-09-14,0.0,100.0,100.0,BUY,29.3118,-0.0992,-0.0334,646.471
2012-09-17,100.0,0.0,-100.0,SELL,29.1721,0.1437,-0.0334,651.0459
2012-10-18,0.0,100.0,100.0,BUY,29.2359,-0.0784,-0.0334,653.2602
2012-10-19,100.0,0.0,-100.0,SELL,28.7437,0.3934,-0.0334,655.4811
2012-11-30,0.0,100.0,100.0,BUY,29.0093,-0.3672,-0.0334,653.8568
2013-03-18,100.0,0.0,-100.0,SELL,32.9691,0.268,-0.0334,760.2466
2013-04-04,0.0,100.0,100.0,BUY,32.4474,-0.066,-0.0334,764.035
2013-04-05,100.0,0.0,-100.0,SELL,32.3842,0.409,-0.0334,767.8402
2013-04-09,0.0,100.0,100.0,BUY,32.6767,-0.2108,-0.0334,770.578
2013-04-30,100.0,0.0,-100.0,SELL,32.7636,0.0432,-0.0334,775.437
2013-05-03,0.0,100.0,100.0,BUY,33.3011,-1.1089,-0.0334,790.4436
2013-07-30,100.0,0.0,-100.0,SELL,35.7514,-0.0099,-0.0334,868.2441
2013-07-31,0.0,100.0,100.0,BUY,35.8785,-0.6643,-0.0334,871.6871
2013-08-29,100.0,0.0,-100.0,SELL,35.1873,0.2456,-0.0334,853.549
2013-09-03,0.0,100.0,100.0,BUY,35.2112,-0.0445,-0.0334,859.6121
2013-09-04,100.0,0.0,-100.0,SELL,35.5687,0.0107,-0.0334,865.7137
2013-09-05,0.0,100.0,100.0,BUY,35.6561,-0.2316,-0.0334,868.0868
2013-10-24,100.0,0.0,-100.0,SELL,38.7175,0.0114,-0.0334,945.9709
2013-10-29,0.0,100.0,100.0,BUY,38.973,-0.1741,-0.0334,948.9782
2014-02-03,100.0,0.0,-100.0,SELL,39.019,0.0938,-0.0334,983.3369
2014-02-04,0.0,100.0,100.0,BUY,39.2677,-0.1277,-0.0334,990.2414
2014-02-05,100.0,0.0,-100.0,SELL,39.2517,-0.0293,-0.0334,997.1898
2014-02-06,0.0,100.0,100.0,BUY,39.7972,-0.2703,-0.0334,1012.4377
2014-02-11,100.0,0.0,-100.0,SELL,40.6796,0.1561,-0.0334,1040.1746
2014-05-27,0.0,100.0,100.0,BUY,43.3706,-0.1345,-0.0334,1046.1367
2014-06-04,100.0,0.0,-100.0,SELL,43.6768,0.045,-0.0334,1060.4768
2014-07-02,0.0,100.0,100.0,BUY,43.9489,-0.035,-0.0334,1058.5567
2014-08-12,100.0,0.0,-100.0,SELL,42.2978,-0.0231,-0.0334,1015.742
2014-08-20,0.0,100.0,100.0,BUY,44.0217,-0.7041,-0.0334,1027.5586
2014-10-15,100.0,0.0,-100.0,SELL,40.7489,0.669,-0.0334,957.3103
2014-10-23,0.0,100.0,100.0,BUY,43.2942,-0.5969,-0.0334,980.6525
2014-11-25,100.0,0.0,-100.0,SELL,46.7584,0.0175,-0.0334,1089.3604
2015-03-20,0.0,100.0,100.0,BUY,46.9249,-0.0678,-0.0334,1096.0818
2015-03-27,100.0,0.0,-100.0,SELL,45.6351,0.0572,-0.0334,1065.358
2015-03-30,0.0,100.0,100.0,BUY,46.2759,-0.1581,-0.0334,1081.7213
2015-03-31,100.0,0.0,-100.0,SELL,45.8158,-0.0039,-0.0334,1098.3143
2015-04-16,0.0,100.0,100.0,BUY,46.3991,-0.1046,-0.0334,1095.7738
2015-04-20,100.0,0.0,-100.0,SELL,46.3745,0.064,-0.0334,1078.8726
2015-04-24,0.0,100.0,100.0,BUY,46.2677,-0.2582,-0.0334,1073.8703
2015-04-28,100.0,0.0,-100.0,SELL,46.3334,0.0081,-0.0334,1068.4741
2015-04-29,0.0,100.0,100.0,BUY,46.1034,-0.124,-0.0334,1062.6733
2015-06-15,100.0,0.0,-100.0,SELL,45.6022,0.148,-0.0334,1054.0151
2015-06-24,0.0,100.0,100.0,BUY,45.7378,-0.035,-0.0334,1043.2843
2015-06-29,100.0,0.0,-100.0,SELL,44.6068,0.0782,-0.0334,1025.9064
2015-07-01,0.0,100.0,100.0,BUY,44.8545,-0.0491,-0.0334,1031.5293
2015-07-06,100.0,0.0,-100.0,SELL,44.5985,0.6226,-0.0334,1035.0877
2016-04-22,0.0,100.0,100.0,BUY,47.3493,-0.0747,-0.0334,1037.9119
2016-04-25,100.0,0.0,-100.0,SELL,47.1227,0.1304,-0.0334,1040.7432
2016-09-30,0.0,100.0,100.0,BUY,49.5423,-0.4167,-0.0334,1050.9952
2017-04-03,100.0,0.0,-100.0,SELL,55.6817,-0.0165,-0.0334,1208.0688
2017-04-05,0.0,100.0,100.0,BUY,55.6474,-0.3137,-0.0334,1203.8487
2017-04-10,100.0,0.0,-100.0,SELL,55.999,0.0614,-0.0334,1204.6501
2017-06-27,0.0,100.0,100.0,BUY,58.1858,-0.193,-0.0334,1194.8699
2018-01-17,100.0,0.0,-100.0,SELL,69.5362,0.0773,-0.0334,1427.4038
2018-01-18,0.0,100.0,100.0,BUY,69.162,-0.2582,-0.0334,1419.1828
2018-01-23,100.0,0.0,-100.0,SELL,69.397,0.7779,-0.0334,1415.3798
2018-02-05,0.0,100.0,100.0,BUY,64.8013,-0.3247,-0.0334,1346.5955
2018-02-07,100.0,0.0,-100.0,SELL,66.1069,0.505,-0.0334,1306.1601
2018-02-15,0.0,100.0,100.0,BUY,67.2558,-0.1164,-0.0334,1327.4038
2018-02-28,100.0,0.0,-100.0,SELL,66.7162,0.3841,-0.0334,1358.157
2018-05-17,0.0,100.0,100.0,BUY,65.447,-0.283,-0.0334,1363.8262
2018-05-18,100.0,0.0,-100.0,SELL,65.8315,0.0571,-0.0334,1369.5173
2018-05-21,0.0,100.0,100.0,BUY,66.8277,-0.3423,-0.0334,1391.7561
2018-05-24,100.0,0.0,-100.0,SELL,66.2684,0.0195,-0.0334,1394.3307
2018-06-01,0.0,100.0,100.0,BUY,65.7703,-0.2923,-0.0334,1410.7915
2018-06-25,100.0,0.0,-100.0,SELL,62.9017,0.008,-0.0334,1379.5602
2018-06-26,0.0,100.0,100.0,BUY,63.1386,-0.344,-0.0334,1385.1324
2018-06-29,100.0,0.0,-100.0,SELL,62.849,0.0533,-0.0334,1380.7821
2018-07-02,0.0,100.0,100.0,BUY,62.9895,-0.0587,-0.0334,1384.0907
2018-07-03,100.0,0.0,-100.0,SELL,62.7876,0.6615,-0.0334,1387.4067
2018-09-21,0.0,100.0,100.0,BUY,70.5321,-0.8094,-0.0334,1397.025
2018-10-04,100.0,0.0,-100.0,SELL,69.9502,-0.0259,-0.0334,1399.1725
2018-10-08,0.0,100.0,100.0,BUY,69.765,-0.2235,-0.0334,1402.9708
2018-10-11,100.0,0.0,-100.0,SELL,64.722,0.2774,-0.0334,1335.753
2018-11-16,0.0,100.0,100.0,BUY,63.4701,-0.1303,-0.0334,1335.3543
2018-11-20,100.0,0.0,-100.0,SELL,61.169,0.1983,-0.0334,1312.2328
2018-11-28,0.0,100.0,100.0,BUY,63.3026,-0.1213,-0.0334,1346.0682
2018-11-29,100.0,0.0,-100.0,SELL,63.3378,0.1186,-0.0334,1380.7141
2019-02-22,0.0,100.0,100.0,BUY,67.6058,-0.3847,-0.0334,1390.4929
2019-03-22,100.0,0.0,-100.0,SELL,65.0868,0.3941,-0.0334,1377.8977
2019-03-28,0.0,100.0,100.0,BUY,66.2289,-0.4262,-0.0334,1388.7276
2019-05-01,100.0,0.0,-100.0,SELL,69.1464,0.0549,-0.0334,1476.0024
2019-05-03,0.0,100.0,100.0,BUY,69.9494,-0.214,-0.0334,1495.1281
2019-05-07,100.0,0.0,-100.0,SELL,67.8795,0.1747,-0.0334,1499.0409
2019-11-07,0.0,100.0,100.0,BUY,73.5537,-0.2479,-0.0334,1504.5438
2019-11-12,100.0,0.0,-100.0,SELL,73.6798,0.0139,-0.0334,1513.0234
2019-11-22,0.0,100.0,100.0,BUY,73.5717,-0.0538,-0.0334,1521.3614
2019-12-03,100.0,0.0,-100.0,SELL,71.8961,0.3397,-0.0334,1510.186
2019-12-06,0.0,100.0,100.0,BUY,73.0672,-0.7457,-0.0334,1529.6756
2020-01-07,100.0,0.0,-100.0,SELL,74.879,-0.0138,-0.0334,1593.7733
2020-01-08,0.0,100.0,100.0,BUY,75.1324,-0.3663,-0.0334,1599.5072
2020-01-23,100.0,0.0,-100.0,SELL,75.9925,0.4991,-0.0334,1606.2877
2020-06-10,0.0,100.0,100.0,BUY,66.2456,-0.1067,-0.0334,1565.4602
2020-06-11,100.0,0.0,-100.0,SELL,61.5926,0.2128,-0.0334,1525.6096
2020-06-25,0.0,100.0,100.0,BUY,61.7561,-0.0445,-0.0334,1543.6587
2020-07-31,100.0,0.0,-100.0,SELL,65.7333,0.1483,-0.0334,1675.5954
2020-08-03,0.0,100.0,100.0,BUY,66.0082,-0.0906,-0.0334,1683.0219
2020-08-04,100.0,0.0,-100.0,SELL,66.1731,0.2595,-0.0334,1690.4795
2020-08-11,0.0,100.0,100.0,BUY,70.9201,-0.2742,-0.0334,1700.0157
2020-08-13,100.0,0.0,-100.0,SELL,70.7735,0.2882,-0.0334,1715.4485
2020-08-14,0.0,100.0,100.0,BUY,71.0484,-0.1921,-0.0334,1722.5006
2021-07-19,100.0,0.0,-100.0,SELL,92.7494,0.0752,-0.0334,2339.393
2021-07-20,0.0,100.0,100.0,BUY,95.3429,-0.0869,-0.0334,2407.6023
2021-08-04,100.0,0.0,-100.0,SELL,95.3521,0.0264,-0.0334,2513.4049
2021-08-05,0.0,100.0,100.0,BUY,95.7983,-0.0985,-0.0334,2525.6339
2021-08-16,100.0,0.0,-100.0,SELL,97.9363,-0.0183,-0.0334,2587.5764
2021-09-10,0.0,100.0,100.0,BUY,94.7758,-0.9335,-0.0334,2575.5063
2021-09-14,100.0,0.0,-100.0,SELL,93.8835,0.3135,-0.0334,2570.5436
2021-09-15,0.0,100.0,100.0,BUY,94.9153,-0.5443,-0.0334,2599.893
2021-09-20,100.0,0.0,-100.0,SELL,92.1911,1.1497,-0.0334,2581.9822
2021-09-23,0.0,100.0,100.0,BUY,93.851,-0.036,-0.0334,2623.1099
2021-09-30,100.0,0.0,-100.0,SELL,91.2399,1.3236,-0.0334,2644.2638
2021-10-08,0.0,100.0,100.0,BUY,94.1401,-0.2102,-0.0334,2643.992
2021-11-04,100.0,0.0,-100.0,SELL,98.2153,0.1841,-0.0334,2751.0771
2021-11-22,0.0,100.0,100.0,BUY,98.8681,-0.2409,-0.0334,2758.8975
2021-11-26,100.0,0.0,-100.0,SELL,96.2476,0.2821,-0.0334,2768.3614
2021-11-29,0.0,100.0,100.0,BUY,96.4155,-0.2108,-0.0334,2773.3638
2021-11-30,100.0,0.0,-100.0,SELL,93.9722,0.091,-0.0334,2778.3749
