signal,threshold,strategy,signal_column,lead_days,oos_sharpe,oos_max_drawdown,valid,lead_source
gold_copper_roc_126d,T1_p25,P1_long_cash,gold_copper_roc_126d,0,0.8363,-0.0825,True,pipeline
gold_copper_roc_126d,T1_p25,P1_long_cash,gold_copper_roc_126d,1,0.7042,-0.0825,True,pipeline
gold_copper_roc_126d,T1_p25,P1_long_cash,gold_copper_roc_126d,5,0.6098,-0.0845,True,pipeline
gold_copper_roc_126d,T1_p25,P1_long_cash,gold_copper_roc_126d,21,0.7346,-0.0825,True,pipeline
gold_copper_roc_126d,T1_p25,P1_long_cash,gold_copper_roc_126d,63,0.5992,-0.0699,True,pipeline
gold_copper_roc_126d,T1_p25,P1_long_cash,gold_copper_roc_126d,126,0.215,-0.0789,True,pipeline
gold_copper_roc_126d,T1_p25,P1_long_cash,gold_copper_roc_126d,252,0.0069,-0.1981,True,pipeline
gold_copper_roc_126d,T2_p50,P1_long_cash,gold_copper_roc_126d,0,0.8007,-0.085,True,pipeline
gold_copper_roc_126d,T2_p50,P1_long_cash,gold_copper_roc_126d,1,0.5072,-0.1267,True,pipeline
gold_copper_roc_126d,T2_p50,P1_long_cash,gold_copper_roc_126d,5,0.5481,-0.1991,True,pipeline
gold_copper_roc_126d,T2_p50,P1_long_cash,gold_copper_roc_126d,21,0.5078,-0.2013,True,pipeline
gold_copper_roc_126d,T2_p50,P1_long_cash,gold_copper_roc_126d,63,0.6646,-0.1961,True,pipeline
gold_copper_roc_126d,T2_p50,P1_long_cash,gold_copper_roc_126d,126,0.2293,-0.1146,True,pipeline
gold_copper_roc_126d,T2_p50,P1_long_cash,gold_copper_roc_126d,252,0.0124,-0.2867,True,pipeline
gold_copper_roc_126d,T2_p50,P2_long_short,gold_copper_roc_126d,0,0.0478,-0.4346,True,pipeline
gold_copper_roc_126d,T2_p50,P2_long_short,gold_copper_roc_126d,63,0.0419,-0.5671,True,pipeline
gold_copper_roc_126d,T3_p75,P1_long_cash,gold_copper_roc_126d,0,0.516,-0.2337,True,pipeline
gold_copper_roc_126d,T3_p75,P1_long_cash,gold_copper_roc_126d,1,0.3527,-0.2043,True,pipeline
gold_copper_roc_126d,T3_p75,P1_long_cash,gold_copper_roc_126d,5,0.2175,-0.3151,True,pipeline
gold_copper_roc_126d,T3_p75,P1_long_cash,gold_copper_roc_126d,21,0.2552,-0.4233,True,pipeline
gold_copper_roc_126d,T3_p75,P1_long_cash,gold_copper_roc_126d,63,0.3785,-0.4099,True,pipeline
gold_copper_roc_126d,T3_p75,P1_long_cash,gold_copper_roc_126d,126,0.7238,-0.2164,True,pipeline
gold_copper_roc_126d,T3_p75,P1_long_cash,gold_copper_roc_126d,252,0.2885,-0.4233,True,pipeline
gold_copper_roc_126d,T3_p75,P2_long_short,gold_copper_roc_126d,0,0.078,-0.4495,True,pipeline
gold_copper_roc_126d,T3_p75,P2_long_short,gold_copper_roc_126d,63,0.0118,-0.5573,True,pipeline
gold_copper_roc_126d,T3_p75,P2_long_short,gold_copper_roc_126d,126,0.3033,-0.3471,True,pipeline
