signal,threshold,strategy,lead_days,lookback,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n_obs,oos_n_trades
S2a_zscore_12m,T3_z0.5,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T3_z0.5,P3,1,LB24,0.5074,0.071729,-0.175283,0.6761,55,1.86,True,71,55
S2a_zscore_12m,T3_z1.0,P1,1,LB24,0.3355,0.037435,-0.206035,0.5352,37,1.25,True,71,37
S2a_zscore_12m,T3_z1.0,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T3_z1.0,P3,1,LB24,-0.1701,-0.024347,-0.362516,0.6197,37,1.25,False,71,37
S2a_zscore_12m,T3_z1.5,P1,1,LB24,0.506,0.059338,-0.206035,0.6056,35,1.19,True,71,35
S2a_zscore_12m,T3_z1.5,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T3_z1.5,P3,1,LB24,0.136,0.019458,-0.334237,0.6761,35,1.19,True,71,35
S2a_zscore_12m,T3_z2.0,P1,1,LB24,0.6715,0.085688,-0.20518,0.6479,23,0.78,True,71,23
S2a_zscore_12m,T3_z2.0,P2,1,LB24,0.5725,0.038611,-0.127466,0.6338,230,8.19,True,71,230
S2a_zscore_12m,T3_z2.0,P3,1,LB24,0.5095,0.072159,-0.20518,0.7042,23,0.78,True,71,23
S2a_zscore_12m,T1_p40,P1,2,LB24,0.1987,0.017466,-0.257382,0.2958,58,1.97,True,71,58
S2a_zscore_12m,T1_p40,P2,2,LB24,0.2784,0.024425,-0.202996,0.6479,229,8.18,True,71,229
S2a_zscore_12m,T1_p40,P3,2,LB24,-0.4527,-0.064285,-0.500804,0.507,58,1.97,False,71,58
S2a_zscore_12m,T1_p50,P1,2,LB24,0.1987,0.017466,-0.257382,0.2958,50,1.69,True,71,50
S2a_zscore_12m,T1_p50,P2,2,LB24,0.2784,0.024425,-0.202996,0.6479,229,8.18,True,71,229
S2a_zscore_12m,T1_p50,P3,2,LB24,-0.4527,-0.064285,-0.500804,0.507,50,1.69,False,71,50
S2a_zscore_12m,T1_p60,P1,2,LB24,0.0334,0.003389,-0.290003,0.3803,58,1.97,True,71,58
S2a_zscore_12m,T1_p60,P2,2,LB24,0.2784,0.024425,-0.202996,0.6479,229,8.18,True,71,229
S2a_zscore_12m,T1_p60,P3,2,LB24,-0.655,-0.09244,-0.540177,0.5352,58,1.97,False,71,58
S2a_zscore_12m,T1_p70,P1,2,LB24,0.2494,0.028079,-0.236098,0.493,46,1.56,True,71,46
