indicator_id,display_name,category,target,pair_id,status,primary_csv_ticker,aliases,contributing_csv_ticker,source_csv_rows
us10y_us3m,10Y−3M Treasury Spread,rates,XLP,us10y_us3m_xlp,not_started,G - (US10Y-US3M),,G - (US10Y-US3M),63
us10y_us3m,10Y−3M Treasury Spread,rates,XLE,us10y_us3m_xle,not_started,G - (US10Y-US3M),,G - (US10Y-US3M),63
us10y_us3m,10Y−3M Treasury Spread,rates,XLI,us10y_us3m_xli,not_started,G - (US10Y-US3M),,G - (US10Y-US3M),63
us10y_us3m,10Y−3M Treasury Spread,rates,XLY,us10y_us3m_xly,not_started,G - (US10Y-US3M),,G - (US10Y-US3M),63
us10y_us3m,10Y−3M Treasury Spread,rates,XLK,us10y_us3m_xlk,not_started,G - (US10Y-US3M),,G - (US10Y-US3M),63
us10y_us3m,10Y−3M Treasury Spread,rates,XLF,us10y_us3m_xlf,not_started,G - (US10Y-US3M),,G - (US10Y-US3M),63
us10y_us3m,10Y−3M Treasury Spread,rates,XLV,us10y_us3m_xlv,not_started,G - (US10Y-US3M),,G - (US10Y-US3M),63
vix_vix3m,VIX 1M / 3M Ratio,volatility,SPY,vix_vix3m_spy,not_started,G - (VIX1M/VIX3M),,G - (VIX1M/VIX3M),64
vix_vix3m,VIX 1M / 3M Ratio,volatility,XLP,vix_vix3m_xlp,not_started,G - (VIX1M/VIX3M),,G - (VIX1M/VIX3M),64
vix_vix3m,VIX 1M / 3M Ratio,volatility,XLE,vix_vix3m_xle,not_started,G - (VIX1M/VIX3M),,G - (VIX1M/VIX3M),64
vix_vix3m,VIX 1M / 3M Ratio,volatility,XLI,vix_vix3m_xli,not_started,G - (VIX1M/VIX3M),,G - (VIX1M/VIX3M),64
vix_vix3m,VIX 1M / 3M Ratio,volatility,XLY,vix_vix3m_xly,not_started,G - (VIX1M/VIX3M),,G - (VIX1M/VIX3M),64
vix_vix3m,VIX 1M / 3M Ratio,volatility,XLK,vix_vix3m_xlk,not_started,G - (VIX1M/VIX3M),,G - (VIX1M/VIX3M),64
vix_vix3m,VIX 1M / 3M Ratio,volatility,XLF,vix_vix3m_xlf,not_started,G - (VIX1M/VIX3M),,G - (VIX1M/VIX3M),64
ism_mfg,ISM Manufacturing PMI,production,SPY,ism_mfg_spy,not_started,Ind - ISM Manufacturing PMI,,Ind - ISM Manufacturing PMI,66
ism_mfg,ISM Manufacturing PMI,production,XLP,ism_mfg_xlp,not_started,Ind - ISM Manufacturing PMI,,Ind - ISM Manufacturing PMI,66
ism_mfg,ISM Manufacturing PMI,production,XLE,ism_mfg_xle,not_started,Ind - ISM Manufacturing PMI,,Ind - ISM Manufacturing PMI,66
ism_mfg,ISM Manufacturing PMI,production,XLI,ism_mfg_xli,not_started,Ind - ISM Manufacturing PMI,,Ind - ISM Manufacturing PMI,66
ism_mfg,ISM Manufacturing PMI,production,XLY,ism_mfg_xly,not_started,Ind - ISM Manufacturing PMI,,Ind - ISM Manufacturing PMI,66
ism_mfg,ISM Manufacturing PMI,production,XLK,ism_mfg_xlk,not_started,Ind - ISM Manufacturing PMI,,Ind - ISM Manufacturing PMI,66
ism_mfg,ISM Manufacturing PMI,production,XLF,ism_mfg_xlf,not_started,Ind - ISM Manufacturing PMI,,Ind - ISM Manufacturing PMI,66
ism_mfg,ISM Manufacturing PMI,production,XLV,ism_mfg_xlv,not_started,Ind - ISM Manufacturing PMI,,Ind - ISM Manufacturing PMI,66
