signal,threshold,strategy,lead_months,lookback,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,n_trades,annual_turnover,oos_n,valid
yoy,T2_roll_p25,P3_long_short_counter,3,LB60,-0.0037,-0.2967,-0.4943,-0.0865,-0.0506,0.1707,-0.5857,0.49,9,1.08,100,False
yoy,T2_roll_p75,P1_long_cash_pro,3,LB60,-0.0696,0.841,1.1122,1.1106,0.0682,0.0811,-0.0614,0.14,7,0.84,100,True
yoy,T2_roll_p75,P1_long_cash_counter,3,LB60,0.8631,0.5409,0.7215,0.3341,0.0799,0.1478,-0.2393,0.53,7,0.84,100,True
yoy,T2_roll_p75,P2_signal_strength_pro,3,LB60,0.519,0.9459,1.5222,0.8829,0.0732,0.0773,-0.0829,0.64,97,11.64,100,True
yoy,T2_roll_p75,P2_signal_strength_counter,3,LB60,0.5507,0.6933,0.9271,0.4591,0.075,0.1082,-0.1634,0.65,97,11.64,100,True
yoy,T2_roll_p75,P3_long_short_pro,3,LB60,-0.7993,-0.0683,-0.1365,-0.0263,-0.0117,0.1713,-0.4442,0.42,7,0.84,100,False
yoy,T2_roll_p75,P3_long_short_counter,3,LB60,0.7993,0.0683,0.1053,0.0292,0.0117,0.1713,-0.4001,0.58,7,0.84,100,False
yoy,T3_zscore_1.0,P1_long_cash_pro,3,LB60,0.0338,0.4809,0.8307,0.4143,0.0255,0.0529,-0.0614,0.04,2,0.24,100,True
yoy,T3_zscore_1.0,P1_long_cash_counter,3,LB60,0.7572,0.7726,1.1341,0.5129,0.1227,0.1588,-0.2393,0.63,2,0.24,100,True
yoy,T3_zscore_1.0,P2_signal_strength_pro,3,LB60,0.519,0.9459,1.5222,0.8829,0.0732,0.0773,-0.0829,0.64,97,11.64,100,True
yoy,T3_zscore_1.0,P2_signal_strength_counter,3,LB60,0.5507,0.6933,0.9271,0.4591,0.075,0.1082,-0.1634,0.65,97,11.64,100,True
yoy,T3_zscore_1.0,P3_long_short_pro,3,LB60,-0.7104,-0.5756,-1.0703,-0.1525,-0.0973,0.169,-0.6379,0.35,2,0.24,100,False
yoy,T3_zscore_1.0,P3_long_short_counter,3,LB60,0.7104,0.5756,0.8839,0.4006,0.0973,0.169,-0.2428,0.65,2,0.24,100,True
yoy,T3_zscore_neg_1.0,P1_long_cash_pro,3,LB60,0.3907,0.1173,0.0715,0.0743,0.0093,0.0791,-0.1249,0.1,5,0.6,100,False
yoy,T3_zscore_neg_1.0,P1_long_cash_counter,3,LB60,0.6111,0.948,1.3821,0.686,0.1389,0.1465,-0.2025,0.57,5,0.6,100,True
yoy,T3_zscore_neg_1.0,P2_signal_strength_pro,3,LB60,0.519,0.9459,1.5222,0.8829,0.0732,0.0773,-0.0829,0.64,97,11.64,100,True
yoy,T3_zscore_neg_1.0,P2_signal_strength_counter,3,LB60,0.5507,0.6933,0.9271,0.4591,0.075,0.1082,-0.1634,0.65,97,11.64,100,True
yoy,T3_zscore_neg_1.0,P3_long_short_pro,3,LB60,-0.2907,-0.7755,-1.3677,-0.1832,-0.1296,0.1671,-0.7075,0.36,5,0.6,100,False
yoy,T3_zscore_neg_1.0,P3_long_short_counter,3,LB60,0.2907,0.7755,1.2203,0.5798,0.1296,0.1671,-0.2235,0.64,5,0.6,100,True
yoy,T3_zscore_1.5,P1_long_cash_pro,3,LB60,0.2755,0.4079,0.6856,0.3419,0.021,0.0515,-0.0614,0.03,2,0.24,100,True
yoy,T3_zscore_1.5,P1_long_cash_counter,3,LB60,0.6961,0.7995,1.1751,0.5314,0.1272,0.1591,-0.2393,0.64,2,0.24,100,True
yoy,T3_zscore_1.5,P2_signal_strength_pro,3,LB60,0.519,0.9459,1.5222,0.8829,0.0732,0.0773,-0.0829,0.64,97,11.64,100,True
yoy,T3_zscore_1.5,P2_signal_strength_counter,3,LB60,0.5507,0.6933,0.9271,0.4591,0.075,0.1082,-0.1634,0.65,97,11.64,100,True
yoy,T3_zscore_1.5,P3_long_short_pro,3,LB60,-0.6441,-0.6299,-1.1772,-0.1599,-0.1061,0.1685,-0.6637,0.34,2,0.24,100,False
yoy,T3_zscore_1.5,P3_long_short_counter,3,LB60,0.6441,0.6299,0.9515,0.4436,0.1061,0.1685,-0.2393,0.66,2,0.24,100,True
yoy,T3_zscore_neg_1.5,P1_long_cash_pro,3,LB60,0.0791,0.1942,0.151,0.1742,0.0092,0.0473,-0.0527,0.07,5,0.6,100,False
yoy,T3_zscore_neg_1.5,P1_long_cash_counter,3,LB60,0.7876,0.8707,1.2459,0.6864,0.139,0.1596,-0.2025,0.6,5,0.6,100,True
yoy,T3_zscore_neg_1.5,P2_signal_strength_pro,3,LB60,0.519,0.9459,1.5222,0.8829,0.0732,0.0773,-0.0829,0.64,97,11.64,100,True
yoy,T3_zscore_neg_1.5,P2_signal_strength_counter,3,LB60,0.5507,0.6933,0.9271,0.4591,0.075,0.1082,-0.1634,0.65,97,11.64,100,True
yoy,T3_zscore_neg_1.5,P3_long_short_pro,3,LB60,-0.6536,-0.7766,-1.3562,-0.1842,-0.1298,0.1671,-0.7046,0.35,5,0.6,100,False
yoy,T3_zscore_neg_1.5,P3_long_short_counter,3,LB60,0.6536,0.7766,1.2399,0.5166,0.1298,0.1671,-0.2513,0.65,5,0.6,100,True
yoy,T2_roll_p25,P1_long_cash_pro,3,LB120,0.3749,0.7934,0.895,0.6986,0.0945,0.1192,-0.1353,0.36,9,1.08,100,True
yoy,T2_roll_p25,P1_long_cash_counter,3,LB120,0.6566,0.4508,0.4956,0.2684,0.0536,0.119,-0.1998,0.31,9,1.08,100,True
yoy,T2_roll_p25,P2_signal_strength_pro,3,LB120,0.3469,0.7975,1.051,0.5687,0.0772,0.0968,-0.1357,0.65,97,11.64,100,True
yoy,T2_roll_p25,P2_signal_strength_counter,3,LB120,0.4688,0.8163,1.2161,0.4343,0.071,0.0869,-0.1634,0.65,97,11.64,100,True
yoy,T2_roll_p25,P3_long_short_pro,3,LB120,-0.1797,0.2393,0.4102,0.0865,0.0409,0.1709,-0.4727,0.54,9,1.08,100,False
yoy,T2_roll_p25,P3_long_short_counter,3,LB120,0.1797,-0.2393,-0.4156,-0.0743,-0.0409,0.1709,-0.5504,0.46,9,1.08,100,False
yoy,T2_roll_p75,P1_long_cash_pro,3,LB120,-0.1947,0.5406,0.5776,0.5768,0.0354,0.0656,-0.0614,0.09,4,0.48,100,True
yoy,T2_roll_p75,P1_long_cash_counter,3,LB120,0.9132,0.7296,1.0175,0.4711,0.1127,0.1545,-0.2393,0.58,4,0.48,100,True
yoy,T2_roll_p75,P2_signal_strength_pro,3,LB120,0.3469,0.7975,1.051,0.5687,0.0772,0.0968,-0.1357,0.65,97,11.64,100,True
yoy,T2_roll_p75,P2_signal_strength_counter,3,LB120,0.4688,0.8163,1.2161,0.4343,0.071,0.0869,-0.1634,0.65,97,11.64,100,True
yoy,T2_roll_p75,P3_long_short_pro,3,LB120,-0.9118,-0.4551,-0.849,-0.1351,-0.0773,0.1698,-0.5722,0.37,4,0.48,100,False
yoy,T2_roll_p75,P3_long_short_counter,3,LB120,0.9118,0.4551,0.7103,0.3024,0.0773,0.1698,-0.2556,0.63,4,0.48,100,True
yoy,T3_zscore_1.0,P1_long_cash_pro,3,LB120,-0.2149,0.5191,1.2084,0.488,0.03,0.0578,-0.0614,0.05,4,0.48,100,True
yoy,T3_zscore_1.0,P1_long_cash_counter,3,LB120,0.8947,0.7511,1.0799,0.4939,0.1182,0.1574,-0.2393,0.62,4,0.48,100,True
yoy,T3_zscore_1.0,P2_signal_strength_pro,3,LB120,0.3469,0.7975,1.051,0.5687,0.0772,0.0968,-0.1357,0.65,97,11.64,100,True
yoy,T3_zscore_1.0,P2_signal_strength_counter,3,LB120,0.4688,0.8163,1.2161,0.4343,0.071,0.0869,-0.1634,0.65,97,11.64,100,True
yoy,T3_zscore_1.0,P3_long_short_pro,3,LB120,-0.9119,-0.5207,-0.9765,-0.1447,-0.0882,0.1694,-0.6094,0.35,4,0.48,100,False
yoy,T3_zscore_1.0,P3_long_short_counter,3,LB120,0.9119,0.5207,0.8037,0.3633,0.0882,0.1694,-0.2428,0.65,4,0.48,100,True
yoy,T3_zscore_neg_1.0,P1_long_cash_pro,3,LB120,0.1961,0.0132,0.0088,0.0044,0.0009,0.0686,-0.207,0.1,8,0.96,100,False
yoy,T3_zscore_neg_1.0,P1_long_cash_counter,3,LB120,0.7228,0.9749,1.3638,0.7572,0.1473,0.1511,-0.1945,0.57,8,0.96,100,True
yoy,T3_zscore_neg_1.0,P2_signal_strength_pro,3,LB120,0.3469,0.7975,1.051,0.5687,0.0772,0.0968,-0.1357,0.65,97,11.64,100,True
yoy,T3_zscore_neg_1.0,P2_signal_strength_counter,3,LB120,0.4688,0.8163,1.2161,0.4343,0.071,0.0869,-0.1634,0.65,97,11.64,100,True
yoy,T3_zscore_neg_1.0,P3_long_short_pro,3,LB120,-0.5374,-0.8818,-1.4672,-0.1926,-0.1464,0.166,-0.7599,0.35,8,0.96,100,False
yoy,T3_zscore_neg_1.0,P3_long_short_counter,3,LB120,0.5374,0.8818,1.4989,0.7526,0.1464,0.166,-0.1945,0.65,8,0.96,100,True
yoy,T3_zscore_1.5,P1_long_cash_pro,3,LB120,-0.2019,0.4079,0.6856,0.3419,0.021,0.0515,-0.0614,0.03,2,0.24,100,True
yoy,T3_zscore_1.5,P1_long_cash_counter,3,LB120,0.779,0.7995,1.1751,0.5314,0.1272,0.1591,-0.2393,0.64,2,0.24,100,True
