date,signal_value,position,strategy_return,benchmark_return,strategy_equity,benchmark_equity
2001-11-30,1.73,1.0,0.07797759457247322,0.07797759457247322,1.1818233667019475,3.022795395454465
2001-12-31,1.1400000000000001,1.0,0.005638824655915808,0.005638824655915808,1.188487461441044,3.0398404086601425
2002-01-31,0.13000000000000012,0.0,-0.009798872480181409,-0.009798872480181409,1.1768416243620885,3.0100534001355794
2002-02-28,-0.32000000000000006,0.0,-0.0,-0.01793547521772232,1.1768416243620885,2.956066661973427
2002-03-31,0.43000000000000016,1.0,0.0,0.033270957735332285,1.1768416243620885,3.0544178309467696
2002-04-30,0.72,1.0,-0.05815598957872048,-0.05815598957872048,1.1084012351198824,2.8767851394011714
2002-05-31,1.52,1.0,-0.0059335999915532955,-0.0059335999915532955,1.1018244255605374,2.85971544712232
2002-06-30,1.13,1.0,-0.07380770668235692,-0.07380770668235692,1.020501291543309,2.6486464082061105
2002-07-31,1.06,1.0,-0.07881963470401454,-0.07881963470401454,0.9400657525288902,2.4398810658512047
2002-08-31,0.08999999999999986,0.0,0.0068012108274206895,0.0068012108274206895,0.9464593379034771,2.4564752113738906
2002-09-30,0.2999999999999998,0.0,-0.0,-0.10485198872520762,0.9464593379034771,2.1989089002071633
2002-10-31,0.029999999999999805,0.0,0.0,0.08228331676933376,0.9464593379034771,2.3798424177898165
2002-11-30,0.25,0.0,0.0,0.06168142702988155,0.9464593379034771,2.526634494225336
2002-12-31,-0.46999999999999975,0.0,-0.0,-0.056570182508878575,0.9464593379034771,2.3837023197537803
2003-01-31,-0.54,0.0,-0.0,-0.0245942852167228,0.9464593379034771,2.3250768650299922
2003-02-28,-0.8899999999999997,0.0,-0.0,-0.013479553992379989,0.9464593379034771,2.293735865891387
2003-03-31,-1.1,0.0,0.0,0.00214062492564171,0.9464593379034771,2.2986458940587524
2003-04-30,-0.3099999999999996,0.0,0.0,0.08461168195014013,0.9464593379034771,2.4931381893628473
2003-05-31,0.5499999999999998,1.0,0.0,0.054835664711950116,0.9464593379034771,2.6298510791953067
2003-06-30,0.5499999999999998,1.0,0.010651919822758815,0.010651919822758815,0.9565409468863264,2.657864042036691
2003-07-31,0.3299999999999996,0.0,0.018027177844028852,0.018027177844028852,0.9737846806509419,2.7057778298077357
2003-08-31,-0.4900000000000002,0.0,0.0,0.02062546547180033,0.9737846806509419,2.7615857570107982
2003-09-30,0.08000000000000007,0.0,-0.0,-0.010905695016791617,0.9737846806509419,2.7314687449821227
2003-10-31,-0.06000000000000005,0.0,0.0,0.053526784705904884,0.9737846806509419,2.877675484425689
2003-11-30,-0.25,0.0,0.0,0.010920823097970711,0.9737846806509419,2.909102069324469
2003-12-31,-0.04999999999999982,0.0,0.0,0.05031329844553678,0.9737846806509419,3.0554685899469196
2004-01-31,0.77,1.0,0.0,0.01976984642276136,0.9737846806509419,3.1158747347197413
2004-02-29,1.2100000000000004,1.0,0.013570339729657377,0.013570339729657377,0.9869992695909111,3.158158213424944
2004-03-31,0.36999999999999966,0.0,-0.013244886484996221,-0.013244886484996221,0.9739265763044053,3.1163287663864723
2004-04-30,-0.1599999999999997,0.0,-0.0,-0.018921997448977268,0.9739265763044053,3.057361601418733
2004-05-31,-0.06000000000000005,0.0,0.0,0.0171236445609666,0.9739265763044053,3.109714774775775
2004-06-30,0.31000000000000005,0.0,0.0,0.01850143852370234,0.9739265763044053,3.167248971507538
2004-07-31,-0.1299999999999999,0.0,-0.0,-0.03221895004355502,0.9739265763044053,3.0652035351190356
2004-08-31,-0.38000000000000034,0.0,0.0,0.002436157318721932,0.9739265763044053,3.0726708531444884
2004-09-30,-0.4099999999999997,0.0,0.0,0.010036350066555899,0.9739265763044053,3.1035092534659494
2004-10-31,0.3099999999999996,0.0,0.0,0.012884873745854009,0.9739265763044053,3.143497578365948
2004-11-30,0.5500000000000003,1.0,0.0,0.04451744153042125,0.9739265763044053,3.2834380480118748
2004-12-31,0.3799999999999999,0.0,0.030121674261270215,0.030121674261270215,1.0032628753902406,3.3823406993511496
2005-01-31,-0.5,0.0,-0.0,-0.022420768759378373,1.0032628753902406,3.306506020665563
2005-02-28,-1.04,0.0,0.0,0.02090349776258482,1.0032628753902406,3.375623561870519
2005-03-31,-0.8599999999999999,0.0,-0.0,-0.01829250861124143,1.0032628753902406,3.313874938796693
2005-04-30,-0.9099999999999997,0.0,-0.0,-0.018735997125000736,1.0032628753902406,3.251786187470786
2005-05-31,-0.41000000000000014,0.0,0.0,0.03222552241759824,1.0032628753902406,3.356576696152362
2005-06-30,-0.41000000000000014,0.0,0.0,0.0015147938899982005,1.0032628753902406,3.361661218023004
2005-07-31,-0.5100000000000002,0.0,0.0,0.03826123736843723,1.0032628753902406,3.490282535838052
2005-08-31,-0.5299999999999998,0.0,-0.0,-0.009374061476576045,1.0032628753902406,3.457564412776486
2005-09-30,-0.31000000000000005,0.0,0.0,0.008024976109279436,1.0032628753902406,3.485311284585312
2005-10-31,-0.31999999999999984,0.0,-0.0,-0.023650958338186312,1.0032628753902406,3.402880332597974
2005-11-30,-0.5900000000000001,0.0,0.0,0.04395228288106523,1.0032628753902406,3.5524446915867336
2005-12-31,-0.8999999999999999,0.0,-0.0,-0.0019130264552347231,1.0032628753902406,3.54564877091097
2006-01-31,-0.45000000000000007,0.0,0.0,0.024013945751846233,1.0032628753902406,3.630793788150726
2006-02-28,-0.51,0.0,0.0,0.005725645679749203,1.0032628753902406,3.6515824269179116
2006-03-31,-0.020000000000000018,0.0,0.0,0.016503465746869228,1.0032628753902406,3.711846192422421
2006-04-30,-0.27,0.0,0.0,0.012631910217559383,1.0032628753902406,3.7587339002664906
2006-05-31,0.040000000000000036,0.0,-0.0,-0.030120833340698816,1.0032628753902406,3.6455177028845287
2006-06-30,-0.48000000000000004,0.0,0.0,0.0026082451687969854,1.0032628753902406,3.655026106820841
2006-07-31,-0.53,0.0,0.0,0.004478368417521583,1.0032628753902406,3.6713946603028442
2006-08-31,-0.6100000000000001,0.0,0.0,0.02182241902136628,1.0032628753902406,3.7515133729727794
2006-09-30,-0.07999999999999999,0.0,0.0,0.027001593161130266,1.0032628753902406,3.8528102108083297
2006-10-31,0.24,0.0,0.0,0.031516817734554836,1.0032628753902406,3.9742385279882075
2006-11-30,0.33,1.0,0.0,0.01988580567156628,1.0032628753902406,4.053269463048233
2006-12-31,-0.09,0.0,0.013371060270780832,0.013371060270780832,1.0166775637645205,4.107465973332366
2007-01-31,-0.41,0.0,0.0,0.01503958112898962,1.0166775637645205,4.169240541072862
2007-02-28,-0.5700000000000001,0.0,-0.0,-0.019617085194283068,1.0166775637645205,4.087452194183177
2007-03-31,-0.39,0.0,0.0,0.011588250169966896,1.0166775637645205,4.134818612767152
2007-04-30,-0.36,0.0,0.0,0.04429649121383994,1.0166775637645205,4.3179765691184135
2007-05-31,-0.25999999999999995,0.0,0.0,0.03391965782480577,1.0166775637645205,4.464440856838439
2007-06-30,-0.06,0.0,-0.0,-0.014620356963326309,1.0166775637645205,4.399169137869802
2007-07-31,0.18,1.0,-0.0,-0.03131072714670635,1.0166775637645205,4.26142795332175
2007-08-31,-0.030000000000000027,0.0,0.012832856865385489,0.012832856865385489,1.0297244414185593,4.316114248288881
2007-09-30,-0.08000000000000002,0.0,0.0,0.03871481737347615,1.0297244414185593,4.483211823174443
2007-10-31,0.009999999999999953,0.0,0.0,0.013566165562747479,1.0297244414185593,4.544031817020494
2007-11-30,0.77,1.0,-0.0,-0.03873207024607461,1.0297244414185593,4.3680320574832585
2007-12-31,0.6,1.0,-0.011260888971497018,-0.011260888971497018,1.018128828812508,4.31884413346
2008-01-31,0.10000000000000003,0.0,-0.060461156833469865,-0.060461156833469865,0.9565715820169981,4.057721820967563
2008-02-29,0.36,1.0,-0.0,-0.02584227153738361,0.9565715820169981,3.952861071846953
2008-03-31,0.56,1.0,-0.008942710431123713,-0.008942710431123713,0.9480172393523781,3.917511779906964
2008-04-30,0.72,1.0,0.04766249541657852,0.04766249541657852,0.9932021066778483,4.104230167161172
2008-05-31,0.2899999999999999,0.0,0.015116657262874256,0.015116657262874256,1.008216002517262,4.166272407926097
2008-06-30,-0.08999999999999997,0.0,-0.0,-0.08357588196545418,1.008216002517262,3.8180725169253367
2008-07-31,1.17,1.0,-0.0,-0.00898569231961266,1.008216002517262,3.7837644920342766
2008-08-31,0.86,1.0,0.015453644335054584,0.015453644335054584,1.0237966140330743,3.8422374427417827
2008-09-30,1.3899999999999997,1.0,-0.09417350767930943,-0.09417350767930943,0.9273820957393796,3.4804004654220093
2008-10-31,0.6299999999999999,1.0,-0.16518649265303875,-0.16518649265303875,0.7741910999949668,2.905485319510944
2008-11-30,0.49,1.0,-0.06960657833167105,-0.06960657833167105,0.7203023065494846,2.7032444280268852
2008-12-31,0.020000000000000018,0.0,0.009795875371614526,0.009795875371614526,0.7273582981743298,2.729725073542848
2009-01-31,-0.029999999999999805,0.0,-0.0,-0.08211382123244593,0.7273582981743298,2.505576916840225
2009-02-28,-0.06000000000000005,0.0,-0.0,-0.10744927663424597,0.7273582981743298,2.236354489574279
2009-03-31,0.8400000000000003,1.0,0.0,0.08331057281452514,0.7273582981743298,2.422666463117047
2009-04-30,1.2399999999999998,1.0,0.09934605047686351,0.09934605047686351,0.7996184723795223,2.6633488078504777
2009-05-31,0.81,1.0,0.05845356698682913,0.05845356698682913,0.8463590243186647,2.819031045799457
2009-06-30,-0.79,0.0,-0.0006549003833102862,-0.0006549003833102862,0.8458047434692203,2.817184861286999
2009-07-31,-0.9199999999999999,0.0,0.0,0.0746058167433501,0.8458047434692203,3.027363238780317
2009-08-31,-0.16000000000000014,0.0,0.0,0.03693923235935359,0.8458047434692203,3.1391917128937883
2009-09-30,0.3599999999999999,0.0,0.0,0.03545743381413735,0.8458047434692203,3.250499395283608
2009-10-31,0.3900000000000001,1.0,-0.0,-0.019225402516138912,0.8458047434692203,3.1880072360308147
2009-11-30,0.5700000000000003,1.0,0.06160673240221648,0.06160673240221648,0.8979120099646539,3.384409944717295
2009-12-31,0.8399999999999999,1.0,0.019100892398973057,0.019100892398973057,0.9150629306507344,3.449055194905354
2010-01-31,0.31999999999999984,0.0,-0.03634202364574446,-0.03634202364574446,0.8818076919876812,3.323709549456626
2010-02-28,-0.08000000000000007,0.0,0.0,0.031194712905736166,0.8818076919876812,3.427391714633979
2010-03-31,-0.16999999999999993,0.0,0.0,0.06087973989431816,0.8818076919876812,3.636050430736837
2010-04-30,0.020000000000000018,0.0,0.0,0.015469803735659315,0.8818076919876812,3.6922994172732952
2010-05-31,-0.10000000000000009,0.0,-0.0,-0.07945453984565265,0.8818076919876812,3.398929466101474
2010-06-30,0.6200000000000001,1.0,-0.0,-0.05174091136351722,0.8818076919876812,3.2230657578650708
2010-07-31,0.18999999999999995,0.0,0.0683007005288152,0.0683007005288152,0.9420357750821375,3.443203406977692
2010-08-31,0.33000000000000007,0.0,-0.0,-0.044980773708673816,0.9420357750821375,3.2883254536954936
2010-09-30,-0.10999999999999988,0.0,0.0,0.08955516270532704,0.9420357750821375,3.5828119747292617
2010-10-31,-0.020000000000000018,0.0,0.0,0.03820187628871996,0.9420357750821375,3.7196821145536134
2010-11-30,-0.33000000000000007,0.0,0.0,0.0,0.9420357750821375,3.7196821145536134
2010-12-31,-0.8900000000000001,0.0,0.0,0.06685218382445202,0.9420357750821375,3.968350987044278
2011-01-31,-0.7399999999999998,0.0,0.0,0.023300424062296266,0.9420357750821375,4.060815247870441
2011-02-28,-0.8199999999999998,0.0,0.0,0.034737151058697124,0.9420357750821375,4.201876400557177
2011-03-31,-0.41999999999999993,0.0,0.0,0.00011995179338475381,0.9420357750821375,4.202380423167005
2011-04-30,-0.28000000000000025,0.0,0.0,0.028961909746837877,0.9420357750821375,4.324089385704647
2011-05-31,0.31000000000000005,0.0,-0.0,-0.011214788054788816,0.9420357750821375,4.275595639714007
2011-06-30,0.81,1.0,-0.0,-0.01686971309070373,0.9420357750821375,4.203467567980168
2011-07-31,0.7600000000000002,1.0,-0.02000472098468664,-0.02000472098468664,0.9231906122440263,4.119378372114545
2011-08-31,0.6299999999999999,1.0,-0.054975600621647636,-0.054975600621647636,0.8724376538476444,3.8929130719197227
2011-09-30,0.19999999999999973,0.0,-0.06942063750209893,-0.06942063750209893,0.8118724757367054,3.622664564726801
2011-10-31,0.009999999999999787,0.0,0.0,0.10914710908431258,0.8118724757367054,4.018067929148911
2011-11-30,-0.2799999999999998,0.0,-0.0,-0.004063658150644134,0.8118724757367054,4.001739874658783
2011-12-31,-0.22999999999999998,0.0,0.0,0.010448071200428677,0.8118724757367054,4.043550337794813
2012-01-31,-0.5599999999999996,0.0,0.0,0.04637465263905116,0.8118724757367054,4.231068580138565
2012-02-29,-0.7800000000000002,0.0,0.0,0.043405025455410806,0.8118724757367054,4.414718219563069
2012-03-31,-1.25,0.0,0.0,0.03216439546458605,0.8118724757367054,4.556714962241808
2012-04-30,-0.56,0.0,-0.0,-0.006675610901616058,0.8118724757367054,4.52629610616431
2012-05-31,-0.14000000000000012,0.0,-0.0,-0.0600561161445794,0.8118724757367054,4.254464341507749
2012-06-30,-0.029999999999999805,0.0,0.0,0.04058121109641344,0.8118724757367054,4.427115657052639
2012-07-31,-0.3900000000000001,0.0,0.0,0.011829573863189724,0.8118724757367054,4.479486548718627
2012-08-31,-0.16999999999999993,0.0,0.0,0.025052794435722836,0.8118724757367054,4.59171020440126
2012-09-30,0.29000000000000004,0.0,0.0,0.025350952524638704,0.8118724757367054,4.7081144317999355
2012-10-31,0.08000000000000007,0.0,-0.0,-0.01819837816845138,0.8118724757367054,4.622434384909696
2012-11-30,-0.3799999999999999,0.0,0.0,0.005660069082261909,0.8118724757367054,4.648597682856508
2012-12-31,-0.5800000000000001,0.0,0.0,0.008933701691302032,0.8118724757367054,4.690126867838026
2013-01-31,-0.4500000000000002,0.0,0.0,0.05119065785200583,0.8118724757367054,4.930217547612022
2013-02-28,-0.040000000000000036,0.0,0.0,0.012758827157205888,0.8118724757367054,4.993121341149427
2013-03-31,-0.030000000000000027,0.0,0.0,0.03797119114851277,0.8118724757367054,5.182716106021931
2013-04-30,0.2100000000000002,0.0,0.0,0.019211982649943282,0.8118724757367054,5.282286357930406
2013-05-31,0.06000000000000005,0.0,0.0,0.0236104128834842,0.8118724757367054,5.407003319809939
