signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n
S2a_zscore_252d,T3_z2.0,P2,1,1.003,10.09,-21.28,0.5292,6089,5.37,True,2088
S2a_zscore_252d,T3_z2.0,P3,1,0.8385,16.01,-27.74,0.5263,75,5.57,True,2088
S2a_zscore_252d,T3_z2.5,P1,1,0.9639,14.75,-32.48,0.5019,61,2.27,True,2088
S2a_zscore_252d,T3_z2.5,P2,1,1.003,10.09,-21.28,0.5292,6089,5.37,True,2088
S2a_zscore_252d,T3_z2.5,P3,1,0.7726,14.75,-40.28,0.5273,61,4.53,True,2088
S2a_zscore_252d,T1_p75,P1,5,0.5654,7.47,-29.65,0.4358,155,5.76,True,2088
S2a_zscore_252d,T1_p75,P2,5,0.9096,9.56,-20.85,0.5283,6085,5.37,True,2088
S2a_zscore_252d,T1_p75,P3,5,0.0095,0.18,-42.38,0.512,155,11.52,True,2088
S2a_zscore_252d,T1_p85,P1,5,0.8037,11.46,-31.71,0.4775,87,3.23,True,2088
S2a_zscore_252d,T1_p85,P2,5,0.9096,9.56,-20.85,0.5283,6085,5.37,True,2088
S2a_zscore_252d,T1_p85,P3,5,0.4276,8.17,-42.79,0.5273,87,6.46,True,2088
S2a_zscore_252d,T1_p95,P1,5,0.7906,12.6,-32.55,0.5062,79,2.93,True,2088
S2a_zscore_252d,T1_p95,P2,5,0.9096,9.56,-20.85,0.5283,6085,5.37,True,2088
S2a_zscore_252d,T1_p95,P3,5,0.5468,10.45,-40.26,0.5287,79,5.87,True,2088
S2a_zscore_252d,T2_rp75,P1,5,0.8403,10.12,-15.58,0.3764,165,6.13,True,2088
S2a_zscore_252d,T2_rp75,P2,5,0.9096,9.56,-20.85,0.5283,6085,5.37,True,2088
S2a_zscore_252d,T2_rp75,P3,5,0.2874,5.49,-31.6,0.5043,165,12.26,True,2088
S2a_zscore_252d,T2_rp85,P1,5,0.8334,11.21,-33.3,0.4373,159,5.91,True,2088
S2a_zscore_252d,T2_rp85,P2,5,0.9096,9.56,-20.85,0.5283,6085,5.37,True,2088
S2a_zscore_252d,T2_rp85,P3,5,0.4014,7.67,-42.63,0.5158,159,11.81,True,2088
S2a_zscore_252d,T2_rp95,P1,5,1.1152,16.81,-23.68,0.4957,97,3.6,True,2088
S2a_zscore_252d,T2_rp95,P2,5,0.9096,9.56,-20.85,0.5283,6085,5.37,True,2088
S2a_zscore_252d,T2_rp95,P3,5,0.9893,18.87,-23.8,0.5335,97,7.21,True,2088
S2a_zscore_252d,T3_z1.5,P1,5,0.9914,14.22,-24.2,0.4789,105,3.9,True,2088
S2a_zscore_252d,T3_z1.5,P2,5,0.9096,9.56,-20.85,0.5283,6085,5.37,True,2088
S2a_zscore_252d,T3_z1.5,P3,5,0.7167,13.69,-25.45,0.5268,105,7.8,True,2088
S2a_zscore_252d,T3_z2.0,P1,5,1.0005,15.43,-28.8,0.4966,75,2.79,True,2088
S2a_zscore_252d,T3_z2.0,P2,5,0.9096,9.56,-20.85,0.5283,6085,5.37,True,2088
S2a_zscore_252d,T3_z2.0,P3,5,0.8435,16.1,-33.77,0.5335,75,5.57,True,2088
S2a_zscore_252d,T3_z2.5,P1,5,0.835,13.25,-31.16,0.5038,61,2.27,True,2088
S2a_zscore_252d,T3_z2.5,P2,5,0.9096,9.56,-20.85,0.5283,6085,5.37,True,2088
S2a_zscore_252d,T3_z2.5,P3,5,0.6152,11.75,-37.71,0.5307,61,4.53,True,2088
S2a_zscore_252d,T1_p75,P1,10,0.6944,9.99,-26.66,0.4406,153,5.68,True,2088
S2a_zscore_252d,T1_p75,P2,10,0.8581,9.37,-20.45,0.5278,6080,5.37,True,2088
S2a_zscore_252d,T1_p75,P3,10,0.2736,5.23,-34.11,0.5196,153,11.37,True,2088
S2a_zscore_252d,T1_p85,P1,10,0.6765,10.39,-28.59,0.4761,87,3.23,True,2088
S2a_zscore_252d,T1_p85,P2,10,0.8581,9.37,-20.45,0.5278,6080,5.37,True,2088
S2a_zscore_252d,T1_p85,P3,10,0.3152,6.02,-39.16,0.5249,87,6.46,True,2088
S2a_zscore_252d,T1_p95,P1,10,0.6371,10.65,-30.61,0.5043,79,2.93,True,2088
S2a_zscore_252d,T1_p95,P2,10,0.8581,9.37,-20.45,0.5278,6080,5.37,True,2088
S2a_zscore_252d,T1_p95,P3,10,0.3425,6.55,-40.11,0.5249,79,5.87,True,2088
S2a_zscore_252d,T2_rp75,P1,10,0.6619,8.47,-24.05,0.3779,164,6.09,True,2088
S2a_zscore_252d,T2_rp75,P2,10,0.8581,9.37,-20.45,0.5278,6080,5.37,True,2088
S2a_zscore_252d,T2_rp75,P3,10,0.1143,2.18,-52.19,0.5077,164,12.19,True,2088
S2a_zscore_252d,T2_rp85,P1,10,0.7639,10.71,-28.63,0.4377,159,5.91,True,2088
S2a_zscore_252d,T2_rp85,P2,10,0.8581,9.37,-20.45,0.5278,6080,5.37,True,2088
S2a_zscore_252d,T2_rp85,P3,10,0.3486,6.66,-36.71,0.5168,159,11.81,True,2088
S2a_zscore_252d,T2_rp95,P1,10,0.7758,12.22,-28.03,0.4923,97,3.6,True,2088
S2a_zscore_252d,T2_rp95,P2,10,0.8581,9.37,-20.45,0.5278,6080,5.37,True,2088
S2a_zscore_252d,T2_rp95,P3,10,0.5068,9.68,-39.31,0.5278,97,7.21,True,2088
S2a_zscore_252d,T3_z1.5,P1,10,0.867,13.17,-26.67,0.4799,105,3.9,True,2088
S2a_zscore_252d,T3_z1.5,P2,10,0.8581,9.37,-20.45,0.5278,6080,5.37,True,2088
S2a_zscore_252d,T3_z1.5,P3,10,0.6068,11.59,-40.11,0.5287,105,7.8,True,2088
S2a_zscore_252d,T3_z2.0,P1,10,0.8784,14.19,-27.88,0.4947,75,2.79,True,2088
S2a_zscore_252d,T3_z2.0,P2,10,0.8581,9.37,-20.45,0.5278,6080,5.37,True,2088
S2a_zscore_252d,T3_z2.0,P3,10,0.714,13.63,-39.05,0.5302,75,5.57,True,2088
