signal,threshold,strategy,lead_months,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
S3_mom,T2_roll_p25,P3_long_short,2,-0.2227,-0.6367,-1.1127,-0.1658,-0.09527,0.149627,-0.574728,0.4074,8.57,243,81,False
S3_mom,T2_roll_p50,P1_long_cash,2,0.4944,0.1404,0.2155,0.0518,0.013653,0.09726,-0.263806,0.2222,5.43,243,81,True
S3_mom,T2_roll_p50,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T2_roll_p50,P3_long_short,2,0.0004,-0.528,-0.9081,-0.1313,-0.079418,0.150406,-0.605011,0.4074,10.86,243,81,False
S3_mom,T2_roll_p75,P1_long_cash,2,0.6036,0.4105,0.8419,0.2113,0.054058,0.131682,-0.255895,0.3827,4.02,243,81,True
S3_mom,T2_roll_p75,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T2_roll_p75,P3_long_short,2,0.2575,0.0092,0.0209,0.0031,0.001393,0.152164,-0.442739,0.4691,8.05,243,81,True
S3_mom,T3_zscore_1.0,P1_long_cash,2,0.6942,0.471,1.0088,0.3045,0.06563,0.139339,-0.215566,0.4198,3.29,243,81,True
S3_mom,T3_zscore_1.0,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T3_zscore_1.0,P3_long_short,2,0.4212,0.1614,0.3969,0.0722,0.024536,0.151998,-0.339785,0.4691,6.57,243,81,True
S3_mom,T3_zscore_neg_1.0,P1_long_cash,2,0.5293,0.8111,1.6575,0.8684,0.109558,0.135077,-0.126154,0.4568,2.77,243,81,True
S3_mom,T3_zscore_neg_1.0,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T3_zscore_neg_1.0,P3_long_short,2,0.241,0.7562,1.7711,0.6926,0.112393,0.148621,-0.162272,0.5926,5.54,243,81,True
S3_mom,T3_zscore_1.5,P1_long_cash,2,0.6579,0.6597,1.4879,0.6033,0.095288,0.14444,-0.157936,0.4815,1.59,243,81,True
S3_mom,T3_zscore_1.5,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T3_zscore_1.5,P3_long_short,2,0.4338,0.5583,1.3877,0.3839,0.083853,0.150203,-0.218448,0.5185,3.18,243,81,True
S3_mom,T3_zscore_neg_1.5,P1_long_cash,2,0.5631,0.8349,1.7841,0.6795,0.117951,0.141276,-0.173586,0.5185,1.37,243,81,True
S3_mom,T3_zscore_neg_1.5,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T3_zscore_neg_1.5,P3_long_short,2,0.3334,0.876,1.9663,0.6764,0.129179,0.147466,-0.190991,0.5926,2.73,243,81,True
S3_mom,T3_zscore_2.0,P1_long_cash,2,0.6123,0.6094,1.4451,0.5778,0.090236,0.148066,-0.156182,0.5062,0.78,243,81,True
S3_mom,T3_zscore_2.0,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T3_zscore_2.0,P3_long_short,2,0.4188,0.4895,1.2157,0.4254,0.073749,0.150649,-0.173352,0.5062,1.55,243,81,True
S3_mom,T3_zscore_neg_2.0,P1_long_cash,2,0.6594,0.7408,1.625,0.6861,0.107157,0.14466,-0.156182,0.5309,0.7,243,81,True
S3_mom,T3_zscore_neg_2.0,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T3_zscore_neg_2.0,P3_long_short,2,0.5136,0.7225,1.6305,0.6889,0.107591,0.148921,-0.156182,0.5802,1.4,243,81,True
S3_mom,T4_zero,P1_long_cash,2,0.5099,0.0388,0.0574,0.0138,0.003638,0.093747,-0.263806,0.2099,6.24,243,81,True
S3_mom,T4_zero,P2_signal_strength,2,0.6937,0.4306,0.8245,0.2387,0.030898,0.071746,-0.129414,0.4938,2.84,205,81,True
S3_mom,T4_zero,P3_long_short,2,0.1428,-0.6657,-1.132,-0.1644,-0.099448,0.149398,-0.605011,0.3951,12.48,243,81,False
S3_mom,T1_fixed_p25,P1_long_cash,3,-0.0259,0.871,1.4887,0.9263,0.077865,0.089401,-0.084061,0.2593,4.69,243,81,True
S3_mom,T1_fixed_p25,P2_signal_strength,3,0.5413,0.9483,2.4326,0.8624,0.069439,0.073228,-0.080521,0.5185,2.85,204,81,True
S3_mom,T1_fixed_p25,P3_long_short,3,-0.6449,0.3235,0.5957,0.2211,0.049006,0.151498,-0.221633,0.5802,9.38,243,81,True
S3_mom,T1_fixed_p50,P1_long_cash,3,0.3407,0.8871,1.4599,0.6842,0.083386,0.093998,-0.121881,0.2963,6.24,243,81,True
S3_mom,T1_fixed_p50,P2_signal_strength,3,0.5413,0.9483,2.4326,0.8624,0.069439,0.073228,-0.080521,0.5185,2.85,204,81,True
S3_mom,T1_fixed_p50,P3_long_short,3,-0.1372,0.3973,0.7048,0.3113,0.060049,0.151162,-0.192884,0.5802,12.48,243,81,True
S3_mom,T1_fixed_p75,P1_long_cash,3,0.6129,0.8561,1.8071,0.5319,0.111496,0.130237,-0.209613,0.4321,4.62,243,81,True
S3_mom,T1_fixed_p75,P2_signal_strength,3,0.5413,0.9483,2.4326,0.8624,0.069439,0.073228,-0.080521,0.5185,2.85,204,81,True
S3_mom,T1_fixed_p75,P3_long_short,3,0.4536,0.7836,1.9127,0.442,0.116268,0.14837,-0.263045,0.5556,9.23,243,81,True
S3_mom,T2_roll_p25,P1_long_cash,3,-0.0305,0.8936,1.6996,0.9019,0.075815,0.084843,-0.084061,0.2222,4.28,243,81,True
S3_mom,T2_roll_p25,P2_signal_strength,3,0.5413,0.9483,2.4326,0.8624,0.069439,0.073228,-0.080521,0.5185,2.85,204,81,True
S3_mom,T2_roll_p25,P3_long_short,3,-0.6477,0.2962,0.5452,0.2135,0.044906,0.151605,-0.21031,0.5556,8.57,243,81,True
S3_mom,T2_roll_p50,P1_long_cash,3,0.4051,0.9092,1.4963,0.78,0.085464,0.093998,-0.109565,0.3086,5.43,243,81,True
S3_mom,T2_roll_p50,P2_signal_strength,3,0.5413,0.9483,2.4326,0.8624,0.069439,0.073228,-0.080521,0.5185,2.85,204,81,True
