signal,threshold,strategy,lookback,signal_column,lead_months,oos_sharpe,valid,lead_source
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,9,0.6157,True,patched
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,10,0.7076,True,patched
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,11,0.6376,True,patched
yoy,T1_fixed_p75,P3_long_short_counter,LB_NA,m2sl_pct_yoy,12,0.6551,True,pipeline
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,1,0.6789,True,pipeline
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,2,0.7567,True,pipeline
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,3,0.7,True,pipeline
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,4,0.7012,True,patched
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,5,0.704,True,patched
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,6,0.6901,True,pipeline
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,7,0.7183,True,patched
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,8,0.7494,True,patched
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,9,0.6952,True,patched
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,10,0.6741,True,patched
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,11,0.6365,True,patched
yoy,T4_zero,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,12,0.7044,True,pipeline
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,1,0.7143,True,pipeline
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,2,0.5171,True,pipeline
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,3,0.66,True,pipeline
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,4,0.6577,True,patched
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,5,0.6507,True,patched
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,6,0.6847,True,pipeline
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,7,0.6354,True,patched
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,8,0.552,True,patched
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,9,0.6823,True,patched
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,10,0.7587,True,patched
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,11,0.8675,True,patched
yoy,T4_zero,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,12,0.7658,True,pipeline
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,1,0.3858,True,pipeline
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,2,0.5341,True,pipeline
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,3,0.425,True,pipeline
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,4,0.4276,True,patched
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,5,0.4331,True,patched
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,6,0.4063,True,pipeline
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,7,0.4691,True,patched
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,8,0.5293,True,patched
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,9,0.42,True,patched
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,10,0.3866,True,patched
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,11,0.3175,True,patched
yoy,T4_zero,P3_long_short_pro,LB_NA,m2sl_pct_yoy,12,0.466,True,pipeline
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,1,-0.3858,False,pipeline
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,2,-0.5341,False,pipeline
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,3,-0.425,False,pipeline
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,4,-0.4276,False,patched
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,5,-0.4331,False,patched
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,6,-0.4063,False,pipeline
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,7,-0.4691,False,patched
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,8,-0.5293,False,patched
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,9,-0.42,False,patched
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,10,-0.3866,False,patched
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,11,-0.3175,False,patched
yoy,T4_zero,P3_long_short_counter,LB_NA,m2sl_pct_yoy,12,-0.466,False,pipeline
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,1,0.8307,True,pipeline
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,2,0.7902,True,pipeline
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,3,0.7594,True,pipeline
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,4,0.675,True,patched
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,5,0.628,True,patched
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,6,0.6308,True,pipeline
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,7,0.6264,True,patched
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,8,0.5733,True,patched
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,9,0.5443,True,patched
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,10,0.4803,True,patched
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,11,0.6009,True,patched
yoy,T2_roll_p25,P1_long_cash_pro,LB36,m2sl_pct_yoy,12,0.737,True,pipeline
yoy,T2_roll_p25,P1_long_cash_counter,LB36,m2sl_pct_yoy,1,0.3795,True,pipeline
yoy,T2_roll_p25,P1_long_cash_counter,LB36,m2sl_pct_yoy,2,0.4249,True,pipeline
yoy,T2_roll_p25,P1_long_cash_counter,LB36,m2sl_pct_yoy,3,0.4619,True,pipeline
yoy,T2_roll_p25,P1_long_cash_counter,LB36,m2sl_pct_yoy,4,0.568,True,patched
yoy,T2_roll_p25,P1_long_cash_counter,LB36,m2sl_pct_yoy,5,0.6349,True,patched
yoy,T2_roll_p25,P1_long_cash_counter,LB36,m2sl_pct_yoy,6,0.6354,True,pipeline
yoy,T2_roll_p25,P1_long_cash_counter,LB36,m2sl_pct_yoy,7,0.6433,True,patched
yoy,T2_roll_p25,P1_long_cash_counter,LB36,m2sl_pct_yoy,8,0.7327,True,patched
yoy,T2_roll_p25,P1_long_cash_counter,LB36,m2sl_pct_yoy,9,0.7901,True,patched
