signal,threshold,strategy,lead_months,oos_sharpe,annual_turnover,max_drawdown,oos_ann_return,valid,point_role
S1_level,T3_zscore_1.5,P3_long_short_pro,1,-0.5869,1.0,-50.47,-7.71,False,invalid
S1_level,T3_zscore_1.5,P3_long_short_counter,1,0.5869,1.0,-13.29,7.71,True,valid
S1_level,T3_zscore_neg_1.5,P1_long_cash_pro,1,0.5824,0.14,-0.22,1.85,True,valid
S1_level,T3_zscore_neg_1.5,P1_long_cash_counter,1,0.6156,0.14,-13.29,7.83,True,valid
S1_level,T3_zscore_neg_1.5,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T3_zscore_neg_1.5,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
S1_level,T3_zscore_neg_1.5,P3_long_short_pro,1,-0.4529,0.29,-38.65,-5.98,False,invalid
S1_level,T3_zscore_neg_1.5,P3_long_short_counter,1,0.4529,0.29,-22.48,5.98,True,valid
S1_level,T3_zscore_2.0,P1_long_cash_pro,1,0.0,0.14,0.0,0.0,False,invalid
S1_level,T3_zscore_2.0,P1_long_cash_counter,1,0.7437,0.14,-13.29,9.68,True,valid
S1_level,T3_zscore_2.0,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T3_zscore_2.0,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
S1_level,T3_zscore_2.0,P3_long_short_pro,1,-0.7437,0.29,-51.35,-9.68,False,invalid
S1_level,T3_zscore_2.0,P3_long_short_counter,1,0.7437,0.29,-13.29,9.68,True,valid
S1_level,T3_zscore_neg_2.0,P1_long_cash_pro,1,0.5161,0.14,-0.22,1.61,True,valid
S1_level,T3_zscore_neg_2.0,P1_long_cash_counter,1,0.6342,0.14,-13.29,8.07,True,valid
S1_level,T3_zscore_neg_2.0,P2_signal_strength_pro,1,0.6751,0.47,-11.02,6.75,True,valid
S1_level,T3_zscore_neg_2.0,P2_signal_strength_counter,1,0.6905,0.47,-6.23,2.93,True,valid
S1_level,T3_zscore_neg_2.0,P3_long_short_pro,1,-0.4897,0.29,-39.01,-6.46,False,invalid
S1_level,T3_zscore_neg_2.0,P3_long_short_counter,1,0.4897,0.29,-19.86,6.46,True,valid
S1_level,T1_fixed_p25,P1_long_cash_pro,2,0.6316,0.46,-13.29,8.04,True,valid
S1_level,T1_fixed_p25,P1_long_cash_counter,2,0.5268,0.46,0.0,1.65,True,valid
S1_level,T1_fixed_p25,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T1_fixed_p25,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T1_fixed_p25,P3_long_short_pro,2,0.4847,0.93,-20.22,6.39,True,valid
S1_level,T1_fixed_p25,P3_long_short_counter,2,-0.4847,0.93,-38.73,-6.39,False,invalid
S1_level,T1_fixed_p50,P1_long_cash_pro,2,0.5773,0.32,-13.29,7.13,True,valid
S1_level,T1_fixed_p50,P1_long_cash_counter,2,0.5714,0.32,-4.5,2.55,True,valid
S1_level,T1_fixed_p50,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T1_fixed_p50,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T1_fixed_p50,P3_long_short_pro,2,0.3457,0.64,-25.38,4.58,True,valid
S1_level,T1_fixed_p50,P3_long_short_counter,2,-0.3457,0.64,-34.28,-4.58,False,invalid
S1_level,T1_fixed_p75,P1_long_cash_pro,2,0.3171,0.61,-18.65,3.44,True,valid
S1_level,T1_fixed_p75,P1_long_cash_counter,2,0.839,0.61,-6.15,6.24,True,valid
S1_level,T1_fixed_p75,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T1_fixed_p75,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T1_fixed_p75,P3_long_short_pro,2,-0.2106,1.21,-46.02,-2.8,False,invalid
S1_level,T1_fixed_p75,P3_long_short_counter,2,0.2106,1.21,-23.34,2.8,True,valid
S1_level,T2_roll_p25,P1_long_cash_pro,2,0.5874,0.32,-13.29,6.92,True,valid
S1_level,T2_roll_p25,P1_long_cash_counter,2,0.4737,0.32,-6.15,2.77,True,valid
S1_level,T2_roll_p25,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T2_roll_p25,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T2_roll_p25,P3_long_short_pro,2,0.3127,0.64,-23.09,4.15,True,valid
S1_level,T2_roll_p25,P3_long_short_counter,2,-0.3127,0.64,-29.03,-4.15,False,invalid
S1_level,T2_roll_p50,P1_long_cash_pro,2,0.3409,1.04,-16.38,2.35,True,valid
S1_level,T2_roll_p50,P1_long_cash_counter,2,0.6561,1.04,-13.0,7.34,True,valid
S1_level,T2_roll_p50,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T2_roll_p50,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T2_roll_p50,P3_long_short_pro,2,-0.3768,2.07,-51.01,-4.99,False,invalid
S1_level,T2_roll_p50,P3_long_short_counter,2,0.3768,2.07,-18.47,4.99,True,valid
S1_level,T2_roll_p75,P1_long_cash_pro,2,0.4544,0.54,-6.64,1.62,True,valid
S1_level,T2_roll_p75,P1_long_cash_counter,2,0.6394,0.54,-13.29,8.06,True,valid
S1_level,T2_roll_p75,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T2_roll_p75,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T2_roll_p75,P3_long_short_pro,2,-0.4885,1.07,-51.06,-6.44,False,invalid
S1_level,T2_roll_p75,P3_long_short_counter,2,0.4885,1.07,-13.29,6.44,True,valid
S1_level,T3_zscore_1.0,P1_long_cash_pro,2,0.6215,0.36,-2.67,2.03,True,valid
S1_level,T3_zscore_1.0,P1_long_cash_counter,2,0.6021,0.36,-13.29,7.65,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T3_zscore_1.0,P3_long_short_pro,2,-0.425,0.71,-48.85,-5.62,False,invalid
S1_level,T3_zscore_1.0,P3_long_short_counter,2,0.425,0.71,-13.29,5.62,True,valid
S1_level,T3_zscore_neg_1.0,P1_long_cash_pro,2,0.5639,0.29,-4.5,2.52,True,valid
S1_level,T3_zscore_neg_1.0,P1_long_cash_counter,2,0.58,0.29,-13.29,7.16,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T3_zscore_neg_1.0,P3_long_short_pro,2,-0.3505,0.57,-34.28,-4.65,False,invalid
S1_level,T3_zscore_neg_1.0,P3_long_short_counter,2,0.3505,0.57,-25.04,4.65,True,valid
S1_level,T3_zscore_1.5,P1_long_cash_pro,2,0.6167,0.5,0.0,1.53,True,valid
S1_level,T3_zscore_1.5,P1_long_cash_counter,2,0.6336,0.5,-13.29,8.15,True,valid
S1_level,T3_zscore_1.5,P2_signal_strength_pro,2,0.6596,0.47,-10.83,6.55,True,valid
S1_level,T3_zscore_1.5,P2_signal_strength_counter,2,0.6977,0.47,-5.29,3.14,True,valid
S1_level,T3_zscore_1.5,P3_long_short_pro,2,-0.5018,1.0,-48.85,-6.61,False,invalid
S1_level,T3_zscore_1.5,P3_long_short_counter,2,0.5018,1.0,-13.29,6.61,True,valid
S1_level,T3_zscore_neg_1.5,P1_long_cash_pro,2,0.4295,0.14,-1.67,1.37,True,valid
S1_level,T3_zscore_neg_1.5,P1_long_cash_counter,2,0.6545,0.14,-13.29,8.31,True,valid
