signal,threshold,strategy,lead_months,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
S1_level,T3_zscore_2.0,P3_long_short_pro,1,-0.4438,-0.7437,-1.1858,-0.1886,-9.68,13.02,-51.35,0.4167,0.29,240,84,False
S1_level,T3_zscore_2.0,P3_long_short_counter,1,0.4438,0.7437,1.3397,0.7285,9.68,13.02,-13.29,0.5833,0.29,240,84,True
S1_level,T3_zscore_neg_2.0,P1_long_cash_pro,1,0.3013,0.5161,0.0,7.1812,1.61,3.13,-0.22,0.0238,0.14,240,84,True
S1_level,T3_zscore_neg_2.0,P1_long_cash_counter,1,0.4443,0.6342,1.1251,0.6072,8.07,12.73,-13.29,0.5595,0.14,240,84,True
S1_level,T3_zscore_neg_2.0,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T3_zscore_neg_2.0,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
S1_level,T3_zscore_neg_2.0,P3_long_short_pro,1,-0.3529,-0.4897,-0.7913,-0.1656,-6.46,13.19,-39.01,0.4286,0.29,240,84,False
S1_level,T3_zscore_neg_2.0,P3_long_short_counter,1,0.3529,0.4897,0.8705,0.3252,6.46,13.19,-19.86,0.5714,0.29,240,84,True
S1_level,T1_fixed_p25,P1_long_cash_pro,2,0.574,0.6316,1.1121,0.6048,8.04,12.73,-13.29,0.5595,0.46,240,84,True
S1_level,T1_fixed_p25,P1_long_cash_counter,2,0.0248,0.5268,0.0,0.0,1.65,3.12,0.0,0.0238,0.46,240,84,True
S1_level,T1_fixed_p25,P2_signal_strength_pro,2,0.5343,0.6596,1.2081,0.6042,6.55,9.92,-10.83,0.5714,0.47,214,84,True
S1_level,T1_fixed_p25,P2_signal_strength_counter,2,0.4597,0.6977,1.3008,0.5931,3.14,4.5,-5.29,0.5833,0.47,214,84,True
S1_level,T1_fixed_p25,P3_long_short_pro,2,0.4816,0.4847,0.8546,0.3162,6.39,13.19,-20.22,0.5595,0.93,240,84,True
S1_level,T1_fixed_p25,P3_long_short_counter,2,-0.4816,-0.4847,-0.7887,-0.1651,-6.39,13.19,-38.73,0.4405,0.93,240,84,False
S1_level,T1_fixed_p50,P1_long_cash_pro,2,0.5141,0.5773,0.9612,0.5366,7.13,12.36,-13.29,0.5238,0.32,240,84,True
S1_level,T1_fixed_p50,P1_long_cash_counter,2,0.227,0.5714,0.8711,0.5673,2.55,4.47,-4.5,0.0595,0.32,240,84,True
S1_level,T1_fixed_p50,P2_signal_strength_pro,2,0.5343,0.6596,1.2081,0.6042,6.55,9.92,-10.83,0.5714,0.47,214,84,True
S1_level,T1_fixed_p50,P2_signal_strength_counter,2,0.4597,0.6977,1.3008,0.5931,3.14,4.5,-5.29,0.5833,0.47,214,84,True
S1_level,T1_fixed_p50,P3_long_short_pro,2,0.1569,0.3457,0.584,0.1805,4.58,13.25,-25.38,0.5476,0.64,240,84,True
S1_level,T1_fixed_p50,P3_long_short_counter,2,-0.1569,-0.3457,-0.5828,-0.1336,-4.58,13.25,-34.28,0.4524,0.64,240,84,False
S1_level,T1_fixed_p75,P1_long_cash_pro,2,0.2247,0.3171,0.4633,0.1846,3.44,10.85,-18.65,0.4286,0.61,240,84,True
S1_level,T1_fixed_p75,P1_long_cash_counter,2,0.4531,0.839,1.0994,1.0145,6.24,7.44,-6.15,0.1548,0.61,240,84,True
S1_level,T1_fixed_p75,P2_signal_strength_pro,2,0.5343,0.6596,1.2081,0.6042,6.55,9.92,-10.83,0.5714,0.47,214,84,True
S1_level,T1_fixed_p75,P2_signal_strength_counter,2,0.4597,0.6977,1.3008,0.5931,3.14,4.5,-5.29,0.5833,0.47,214,84,True
S1_level,T1_fixed_p75,P3_long_short_pro,2,-0.2924,-0.2106,-0.3153,-0.0608,-2.8,13.3,-46.02,0.5119,1.21,240,84,False
S1_level,T1_fixed_p75,P3_long_short_counter,2,0.2924,0.2106,0.4256,0.1199,2.8,13.3,-23.34,0.4881,1.21,240,84,True
S1_level,T2_roll_p25,P1_long_cash_pro,2,0.5271,0.5874,0.9355,0.5203,6.92,11.77,-13.29,0.5119,0.32,240,84,True
S1_level,T2_roll_p25,P1_long_cash_counter,2,0.1333,0.4737,0.4527,0.4498,2.77,5.84,-6.15,0.0714,0.32,240,84,True
S1_level,T2_roll_p25,P2_signal_strength_pro,2,0.5343,0.6596,1.2081,0.6042,6.55,9.92,-10.83,0.5714,0.47,214,84,True
S1_level,T2_roll_p25,P2_signal_strength_counter,2,0.4597,0.6977,1.3008,0.5931,3.14,4.5,-5.29,0.5833,0.47,214,84,True
S1_level,T2_roll_p25,P3_long_short_pro,2,0.3493,0.3127,0.4987,0.1797,4.15,13.27,-23.09,0.5833,0.64,240,84,True
S1_level,T2_roll_p25,P3_long_short_counter,2,-0.3493,-0.3127,-0.5549,-0.1429,-4.15,13.27,-29.03,0.4167,0.64,240,84,False
S1_level,T2_roll_p50,P1_long_cash_pro,2,0.4214,0.3409,0.3269,0.1433,2.35,6.88,-16.38,0.2381,1.04,240,84,True
S1_level,T2_roll_p50,P1_long_cash_counter,2,0.2915,0.6561,0.99,0.5642,7.34,11.18,-13.0,0.3452,1.04,240,84,True
S1_level,T2_roll_p50,P2_signal_strength_pro,2,0.5343,0.6596,1.2081,0.6042,6.55,9.92,-10.83,0.5714,0.47,214,84,True
S1_level,T2_roll_p50,P2_signal_strength_counter,2,0.4597,0.6977,1.3008,0.5931,3.14,4.5,-5.29,0.5833,0.47,214,84,True
S1_level,T2_roll_p50,P3_long_short_pro,2,0.0944,-0.3768,-0.5618,-0.0978,-4.99,13.24,-51.01,0.4881,2.07,240,84,False
S1_level,T2_roll_p50,P3_long_short_counter,2,-0.0944,0.3768,0.7804,0.2701,4.99,13.24,-18.47,0.5119,2.07,240,84,True
S1_level,T2_roll_p75,P1_long_cash_pro,2,0.5376,0.4544,0.62,0.2441,1.62,3.57,-6.64,0.0833,0.54,240,84,True
S1_level,T2_roll_p75,P1_long_cash_counter,2,0.2392,0.6394,1.0593,0.6066,8.06,12.61,-13.29,0.5,0.54,240,84,True
