signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
spread_zscore_126d,T2_rp25,P2,1,0.8128,8.91,-17.38,12.13,2088,True
spread_zscore_126d,T2_rp25,P3,1,-0.3234,-6.18,-51.35,33.04,2088,False
spread_zscore_126d,T2_rp50,P1,1,0.3444,3.99,-26.67,20.57,2088,True
spread_zscore_126d,T2_rp50,P2,1,0.8128,8.91,-17.38,12.13,2088,True
spread_zscore_126d,T2_rp50,P3,1,-0.3544,-6.77,-61.59,41.13,2088,False
spread_zscore_126d,T2_rp75,P1,1,0.4984,8.02,-29.82,20.63,2088,True
spread_zscore_126d,T2_rp75,P2,1,0.8128,8.91,-17.38,12.13,2088,True
spread_zscore_126d,T2_rp75,P3,1,0.0669,1.28,-48.1,41.25,2088,False
spread_zscore_126d,T1_p25,P1,5,0.0739,0.69,-21.46,15.34,2088,True
spread_zscore_126d,T1_p25,P2,5,0.6534,7.39,-23.38,12.13,2088,True
spread_zscore_126d,T1_p25,P3,5,-0.6997,-13.36,-74.11,30.69,2088,False
spread_zscore_126d,T1_p50,P1,5,0.3197,4.34,-24.87,18.57,2088,True
spread_zscore_126d,T1_p50,P2,5,0.6534,7.39,-23.38,12.13,2088,True
spread_zscore_126d,T1_p50,P3,5,-0.3182,-6.08,-59.81,37.14,2088,False
spread_zscore_126d,T1_p75,P1,5,0.4259,6.67,-30.53,16.58,2088,True
spread_zscore_126d,T1_p75,P2,5,0.6534,7.39,-23.38,12.13,2088,True
spread_zscore_126d,T1_p75,P3,5,-0.0739,-1.41,-54.2,33.15,2088,False
spread_zscore_126d,T2_rp25,P1,5,0.5348,4.64,-19.18,16.52,2088,True
spread_zscore_126d,T2_rp25,P2,5,0.6534,7.39,-23.38,12.13,2088,True
spread_zscore_126d,T2_rp25,P3,5,-0.2867,-5.48,-48.92,33.04,2088,False
spread_zscore_126d,T2_rp50,P1,5,0.5624,7.17,-19.22,20.57,2088,True
spread_zscore_126d,T2_rp50,P2,5,0.6534,7.39,-23.38,12.13,2088,True
spread_zscore_126d,T2_rp50,P3,5,-0.0218,-0.42,-40.14,41.13,2088,False
spread_zscore_126d,T2_rp75,P1,5,0.3763,5.96,-30.97,20.63,2088,True
spread_zscore_126d,T2_rp75,P2,5,0.6534,7.39,-23.38,12.13,2088,True
spread_zscore_126d,T2_rp75,P3,5,-0.1477,-2.82,-50.32,41.25,2088,False
spread_zscore_126d,T1_p25,P1,10,-0.1503,-1.72,-30.63,15.29,2088,False
spread_zscore_126d,T1_p25,P2,10,0.5043,6.3,-27.57,12.14,2088,True
spread_zscore_126d,T1_p25,P3,10,-0.953,-18.18,-81.54,30.57,2088,False
spread_zscore_126d,T1_p50,P1,10,0.2239,3.26,-30.11,18.63,2088,True
spread_zscore_126d,T1_p50,P2,10,0.5043,6.3,-27.57,12.14,2088,True
spread_zscore_126d,T1_p50,P3,10,-0.4304,-8.22,-65.69,37.26,2088,False
spread_zscore_126d,T1_p75,P1,10,0.3571,5.96,-32.75,16.58,2088,True
spread_zscore_126d,T1_p75,P2,10,0.5043,6.3,-27.57,12.14,2088,True
spread_zscore_126d,T1_p75,P3,10,-0.1482,-2.83,-52.17,33.15,2088,False
spread_zscore_126d,T2_rp25,P1,10,0.2308,2.44,-30.07,16.46,2088,True
spread_zscore_126d,T2_rp25,P2,10,0.5043,6.3,-27.57,12.14,2088,True
spread_zscore_126d,T2_rp25,P3,10,-0.5167,-9.87,-64.4,32.92,2088,False
spread_zscore_126d,T2_rp50,P1,10,0.3293,4.71,-29.11,20.57,2088,True
spread_zscore_126d,T2_rp50,P2,10,0.5043,6.3,-27.57,12.14,2088,True
spread_zscore_126d,T2_rp50,P3,10,-0.279,-5.33,-49.18,41.13,2088,False
spread_zscore_126d,T2_rp75,P1,10,0.2414,3.99,-35.69,20.63,2088,True
spread_zscore_126d,T2_rp75,P2,10,0.5043,6.3,-27.57,12.14,2088,True
spread_zscore_126d,T2_rp75,P3,10,-0.3546,-6.78,-63.85,41.25,2088,False
