trade_id,entry_date,exit_date,direction,qty_pct,notional_usd,price_entry,holding_days,trade_return_pct,signal_code,threshold_code,strategy_code
104,2008-08-28,2008-08-29,Long,55.3,5529.85,93.9,1,-0.59,S6_hmm_stress,T4_hmm_0.5,P2
105,2008-08-29,2008-09-01,Long,42.84,4284.42,92.89,3,0.0,S6_hmm_stress,T4_hmm_0.5,P2
106,2008-09-01,2008-09-02,Long,26.1,2610.22,92.89,1,-0.16,S6_hmm_stress,T4_hmm_0.5,P2
107,2008-09-02,2008-09-03,Long,10.77,1076.82,92.31,1,-0.01,S6_hmm_stress,T4_hmm_0.5,P2
108,2008-09-03,2009-12-21,Long,4.32,432.26,92.23,474,-0.11,S6_hmm_stress,T4_hmm_0.5,P2
109,2009-12-21,2009-12-22,Long,8.19,818.93,83.3,1,0.03,S6_hmm_stress,T4_hmm_0.5,P2
110,2009-12-22,2009-12-23,Long,44.1,4409.74,83.6,1,0.09,S6_hmm_stress,T4_hmm_0.5,P2
111,2009-12-23,2009-12-24,Long,63.64,6363.61,83.76,1,0.3,S6_hmm_stress,T4_hmm_0.5,P2
112,2009-12-24,2009-12-25,Long,75.63,7563.5,84.16,1,0.0,S6_hmm_stress,T4_hmm_0.5,P2
113,2009-12-25,2010-01-04,Long,80.82,8082.12,84.16,10,0.63,S6_hmm_stress,T4_hmm_0.5,P2
114,2010-01-04,2010-01-08,Long,87.91,8791.13,84.8,4,1.0,S6_hmm_stress,T4_hmm_0.5,P2
115,2010-01-08,2010-01-20,Long,99.1,9910.4,85.72,12,-0.58,S6_hmm_stress,T4_hmm_0.5,P2
116,2010-01-20,2010-01-21,Long,83.14,8313.59,85.22,1,-1.6,S6_hmm_stress,T4_hmm_0.5,P2
117,2010-01-21,2010-01-22,Long,15.45,1545.05,83.58,1,-0.34,S6_hmm_stress,T4_hmm_0.5,P2
118,2010-01-22,2010-02-19,Long,0.0,0.33,81.71,28,0.0,S6_hmm_stress,T4_hmm_0.5,P2
119,2010-02-19,2010-02-22,Long,8.74,873.9,83.16,3,0.0,S6_hmm_stress,T4_hmm_0.5,P2
120,2010-02-22,2010-02-23,Long,18.61,1860.77,83.17,1,-0.23,S6_hmm_stress,T4_hmm_0.5,P2
121,2010-02-23,2010-02-24,Long,25.75,2574.86,82.16,1,0.24,S6_hmm_stress,T4_hmm_0.5,P2
122,2010-02-24,2010-02-25,Long,60.41,6041.35,82.92,1,-0.08,S6_hmm_stress,T4_hmm_0.5,P2
