signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n
S1_spread_level,T3_z1.5,P2,63,0.7587,0.111523,-0.225188,0.5304,425,4.29,True,1712
S1_spread_level,T3_z1.5,P3,63,0.6071,0.120168,-0.337173,0.5228,107,7.86,True,1712
S1_spread_level,T3_z2.0,P1,63,0.6989,0.13496,-0.337173,0.5047,73,2.68,True,1712
S1_spread_level,T3_z2.0,P2,63,0.7587,0.111523,-0.225188,0.5304,425,4.29,True,1712
S1_spread_level,T3_z2.0,P3,63,0.5512,0.109123,-0.337173,0.5228,73,5.36,True,1712
S1_spread_level,T3_z2.5,P1,63,0.7313,0.141521,-0.337173,0.5123,49,1.8,True,1712
S1_spread_level,T3_z2.5,P2,63,0.7587,0.111523,-0.225188,0.5304,425,4.29,True,1712
S1_spread_level,T3_z2.5,P3,63,0.6176,0.122244,-0.337173,0.5251,49,3.6,True,1712
S2a_zscore_252d,T1_p75,P1,0,0.741,0.093509,-0.224251,0.4428,167,6.13,True,1712
S2a_zscore_252d,T1_p75,P2,0,1.0652,0.112459,-0.204257,0.5292,624,5.36,True,1712
S2a_zscore_252d,T1_p75,P3,0,0.1324,0.026221,-0.397567,0.5169,167,12.26,True,1712
S2a_zscore_252d,T1_p85,P1,0,0.9608,0.131882,-0.312163,0.4761,103,3.78,True,1712
S2a_zscore_252d,T1_p85,P2,0,1.0652,0.112459,-0.204257,0.5292,624,5.36,True,1712
S2a_zscore_252d,T1_p85,P3,0,0.5201,0.102967,-0.390408,0.5257,103,7.56,True,1712
S2a_zscore_252d,T1_p95,P1,0,1.0685,0.163168,-0.233541,0.5105,83,3.05,True,1712
S2a_zscore_252d,T1_p95,P2,0,1.0652,0.112459,-0.204257,0.5292,624,5.36,True,1712
S2a_zscore_252d,T1_p95,P3,0,0.8369,0.165538,-0.232028,0.535,83,6.1,True,1712
S2a_zscore_252d,T2_rp75,P1,0,1.2293,0.147705,-0.166291,0.4065,173,6.35,True,1712
S2a_zscore_252d,T2_rp75,P2,0,1.0652,0.112459,-0.204257,0.5292,624,5.36,True,1712
S2a_zscore_252d,T2_rp75,P3,0,0.6802,0.134612,-0.306973,0.5239,173,12.7,True,1712
S2a_zscore_252d,T2_rp85,P1,0,1.0276,0.135891,-0.270103,0.4533,167,6.13,True,1712
S2a_zscore_252d,T2_rp85,P2,0,1.0652,0.112459,-0.204257,0.5292,624,5.36,True,1712
S2a_zscore_252d,T2_rp85,P3,0,0.5607,0.110984,-0.315278,0.5222,167,12.26,True,1712
S2a_zscore_252d,T2_rp95,P1,0,1.0771,0.164079,-0.266199,0.5,99,3.64,True,1712
S2a_zscore_252d,T2_rp95,P2,0,1.0652,0.112459,-0.204257,0.5292,624,5.36,True,1712
S2a_zscore_252d,T2_rp95,P3,0,0.8461,0.167359,-0.298696,0.528,99,7.27,True,1712
S2a_zscore_252d,T3_z1.5,P1,0,1.0559,0.151104,-0.230685,0.4871,107,3.93,True,1712
S2a_zscore_252d,T3_z1.5,P2,0,1.0652,0.112459,-0.204257,0.5292,624,5.36,True,1712
S2a_zscore_252d,T3_z1.5,P3,0,0.7146,0.141411,-0.234871,0.5292,107,7.86,True,1712
S2a_zscore_252d,T3_z2.0,P1,0,1.1031,0.169357,-0.234277,0.5018,75,2.75,True,1712
S2a_zscore_252d,T3_z2.0,P2,0,1.0652,0.112459,-0.204257,0.5292,624,5.36,True,1712
S2a_zscore_252d,T3_z2.0,P3,0,0.8997,0.177915,-0.250327,0.531,75,5.51,True,1712
S2a_zscore_252d,T3_z2.5,P1,0,1.044,0.164999,-0.283864,0.5088,61,2.24,True,1712
S2a_zscore_252d,T3_z2.5,P2,0,1.0652,0.112459,-0.204257,0.5292,624,5.36,True,1712
S2a_zscore_252d,T3_z2.5,P3,0,0.8555,0.1692,-0.327944,0.5298,61,4.48,True,1712
S2a_zscore_252d,T1_p75,P1,1,0.9655,0.12431,-0.228226,0.4474,167,6.13,True,1712
S2a_zscore_252d,T1_p75,P2,1,1.084,0.11515,-0.212825,0.5292,624,5.37,True,1712
S2a_zscore_252d,T1_p75,P3,1,0.4435,0.087822,-0.369333,0.5251,167,12.26,True,1712
S2a_zscore_252d,T1_p85,P1,1,0.9769,0.136075,-0.28343,0.4766,103,3.78,True,1712
S2a_zscore_252d,T1_p85,P2,1,1.084,0.11515,-0.212825,0.5292,624,5.37,True,1712
S2a_zscore_252d,T1_p85,P3,1,0.5625,0.111352,-0.337831,0.5269,103,7.56,True,1712
S2a_zscore_252d,T1_p95,P1,1,0.919,0.143327,-0.31207,0.5099,83,3.05,True,1712
S2a_zscore_252d,T1_p95,P2,1,1.084,0.11515,-0.212825,0.5292,624,5.37,True,1712
S2a_zscore_252d,T1_p95,P3,1,0.6359,0.125857,-0.379256,0.5333,83,6.1,True,1712
S2a_zscore_252d,T2_rp75,P1,1,1.1112,0.134155,-0.188041,0.4077,173,6.35,True,1712
S2a_zscore_252d,T2_rp75,P2,1,1.084,0.11515,-0.212825,0.5292,624,5.37,True,1712
S2a_zscore_252d,T2_rp75,P3,1,0.5431,0.107513,-0.295212,0.5257,173,12.7,True,1712
S2a_zscore_252d,T2_rp85,P1,1,0.8791,0.118602,-0.338721,0.4521,167,6.13,True,1712
