signal,threshold,strategy,signal_column,lead_days,oos_sharpe,max_drawdown,n_trades,valid,lead_source
S2a_zscore_252d,T1_p95,P3,hy_ig_zscore_252d,1,0.6359,-0.379256,83,True,pipeline
S2a_zscore_252d,T2_rp75,P1,hy_ig_zscore_252d,1,1.1112,-0.188041,173,True,pipeline
S2a_zscore_252d,T2_rp75,P2,hy_ig_zscore_252d,1,1.084,-0.212825,624,True,pipeline
S2a_zscore_252d,T2_rp75,P3,hy_ig_zscore_252d,1,0.5431,-0.295212,173,True,pipeline
S2a_zscore_252d,T2_rp85,P1,hy_ig_zscore_252d,1,0.8791,-0.338721,167,True,pipeline
S2a_zscore_252d,T2_rp85,P2,hy_ig_zscore_252d,1,1.084,-0.212825,624,True,pipeline
S2a_zscore_252d,T2_rp85,P3,hy_ig_zscore_252d,1,0.3859,-0.442743,167,True,pipeline
S2a_zscore_252d,T2_rp95,P1,hy_ig_zscore_252d,1,1.1192,-0.222279,99,True,pipeline
S2a_zscore_252d,T2_rp95,P2,hy_ig_zscore_252d,1,1.084,-0.212825,624,True,pipeline
S2a_zscore_252d,T2_rp95,P3,hy_ig_zscore_252d,1,0.9084,-0.223433,99,True,pipeline
S2a_zscore_252d,T3_z1.5,P1,hy_ig_zscore_252d,1,1.0409,-0.236936,107,True,pipeline
S2a_zscore_252d,T3_z1.5,P2,hy_ig_zscore_252d,1,1.084,-0.212825,624,True,pipeline
S2a_zscore_252d,T3_z1.5,P3,hy_ig_zscore_252d,1,0.7004,-0.245414,107,True,pipeline
S2a_zscore_252d,T3_z2.0,P1,hy_ig_zscore_252d,1,1.0839,-0.236877,75,True,pipeline
S2a_zscore_252d,T3_z2.0,P2,hy_ig_zscore_252d,1,1.084,-0.212825,624,True,pipeline
S2a_zscore_252d,T3_z2.0,P3,hy_ig_zscore_252d,1,0.8522,-0.27739,75,True,pipeline
S2a_zscore_252d,T3_z2.5,P1,hy_ig_zscore_252d,1,1.0339,-0.324835,61,True,pipeline
